date,quarterlyInventory,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment
1984-01-31,,,,,,,0.085,,,,,,,,,,,,,,,,68100000.0,,,,,,,,,,,,,,,,90100000.0,,,,,,,,,,90100000,,90100000,0.0825,,,,,,,,,,,,,,,68100000.0,5500000,,,,,,,,,
1984-04-30,,,,,,,0.105,,,,,,,,,,,,,,,,68100000.0,,,,,,,,,,,,,,,,102800000.0,,,,,,,,,,102800000,,102800000,0.1,,,,,,,,,,,,,,,68100000.0,7200000,,,,,,,,,
1984-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101000000.0,,,,,,,,,,101000000,,101000000,,,,,,,,,,,,,,,,,6400000,,,,,,,,,
1984-10-31,,,,,,,0.075,,,,,,,,,,,,,,,,95828000.0,,,,,,,,,,,,,,,,107000000.0,,,,,,,,,,107000000,,107000000,0.075,,,,,,,,,,,,,,,95828000.0,5900000,,,,,,,,,
1985-01-31,,,,,,,0.0825,,,,,,,,,,,,,,,,95828000.0,,,,,,,,,,,,,,,,116200000.0,,,,,,,,,,116200000,,116200000,0.08,,,,,,,,,,,,,,,95828000.0,7000000,,,,,,,,,
1985-04-30,,,,,,,0.105,,,,,,,,,,,,,,,,95828000.0,,,,,,,,,,,,,,,,140800000.0,,,,,,,,,,140800000,,140800000,0.1,,,,,,,,,,,,,,,95828000.0,9000000,,,,,,,,,
1985-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153300000.0,,,,,,,,,,153300000,,153300000,,,,,,,,,,,,,,,,,10400000,,,,,,,,,
1985-10-31,,,,,,,0.0725,,,,,,,,,,,,,,,,95828000.0,,,,,,,,,,,,,,,,161400000.0,,,,,,,,,,161400000,,161400000,0.07,,,,,,,,,,,,,,,95828000.0,7000000,,,,,,,,,
1986-01-31,,,,,,,0.08,,,,,,,,,,,,,,,,95828000.0,,,,,,,,,,,,,,,,176600000.0,,,,,,,,,,176600000,,176600000,0.08,,,,,,,,,,,,,,,95828000.0,7600000,,,,,,,,,
1986-04-30,,,,,,,0.1175,,,,,,,,,,,,,,,,95872000.0,,,,,,,,,,,,,,,,202200000.0,,,,,,,,,,202200000,,202200000,0.11,,,,,,,,,,,,,,,95872000.0,11300000,,,,,,,,,
