date,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyDilutedEPS,quarterlyChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable
1984-01-31,,230200000,,,,230200000,230200000,,,,,,,,,,0.018133,,,,,,,,,,,,,,,,19100000,,,0.018133,,,,,,654056250.0,,,,,,,,,,,,,,,,,,,654056250.0,,,,,,,,,,,,,,,,
1984-04-30,,-473100000,,,,215200000,-473100000,476300000.0,,,173300000.0,227800000.0,,,,529800000.0,,,,,,417600000.0,,,,506500000.0,,,264400000.0,,,,13900000,303000000.0,11800000.0,,,31100000.0,43600000.0,,,,-75400000.0,,,26800000.0,27600000.0,,307400000.0,,,,,,,,129700000.0,152400000.0,453000000.0,,,982800000.0,,273000000.0,,,,,24800000.0,24800000.0,,,,,,,
1984-07-31,,203300000,,,,203300000,203300000,,,,,,,,,,0.014933,,,,,,,,,,,,,,,,15800000,,,0.014933,,,,,,728212500.0,,,,,,,,,,,,,,,,,,,728212500.0,,,,,,,,,,,,,,,,
1984-10-31,,284800000,,,,284800000,284800000,,,,,,,,,,0.0288,,,,,,,,,,,,,,,,29700000,,,0.0288,,,,,,654056250.0,,,,,,,,,,,,,,,,,,,654056250.0,,,,,,,,,,,,,,,,
1985-01-31,,232400000,,,,232400000,232400000,,,,,,,,,,0.020267,,,,,,,,,,,,,,,,19700000,,,0.020267,,,,,,654056250.0,,,,,,,,,,,,,,,,,,,654056250.0,,,,,,,,,,,,,,,,
1985-04-30,,-532400000,,,,207900000,-532400000,481300000.0,,,163400000.0,242900000.0,,,,489300000.0,,,,,,477900000.0,,,,454100000.0,,,266200000.0,,,,16500000,317900000.0,11800000.0,,,27900000.0,28200000.0,,,,-89400000.0,,,39900000.0,27800000.0,,280700000.0,,,,,,,,135200000.0,153500000.0,446100000.0,,,935400000.0,,264800000.0,,,,,23400000.0,23400000.0,,,,,,,
1985-07-31,,213400000,,,,213400000,213400000,,,,,,,,,,0.020267,,,,,,,,,,,,,,,,18500000,,,0.020267,,,,,,590287500.0,,,,,,,,,,,,,,,,,,,590287500.0,,,,,,,,,,,,,,,,
1985-10-31,,297200000,,,,297200000,297200000,,,,,,,,,,0.0352,,,,,,,,,,,,,,,,31900000,,,0.0352,,,,,,586771875.0,,,,,,,,,,,,,,,,,,,586771875.0,,,,,,,,,,,,,,,,
1986-01-31,,240100000,,,,240100000,240100000,,,,,,,,,,0.017067,,,,,,,,,,,,,,,,15800000,,,0.017067,,,,,,587250000.0,,,,,,,,,,,,,,,,,,,587250000.0,,,,,,,,,,,,,,,,
1986-04-30,,-560600000,,,,244200000,-560600000,521400000.0,,,211700000.0,265600000.0,,,,521600000.0,,,,,,542500000.0,,,,516400000.0,,,235900000.0,,,,20200000,309700000.0,11700000.0,,,34900000.0,30500000.0,,,,-104200000.0,,,62100000.0,28300000.0,,285500000.0,,,,,,,,181200000.0,161400000.0,516200000.0,,,1037800000.0,,326500000.0,,,,,23800000.0,23800000.0,,,,,,,
