date,quarterlyBasicAverageShares,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyDilutedAverageShares,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments
1984-03-31,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,426600000,,,426600000,,,426600000,,,,,,,,,,,,,,,,,,,,,,,5100000,,,,,,,0.025,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,-0.0125,,,,,,,,,,,,,,,425300000,,,425300000,,,425300000,,,,,,,,,,,,,,,,,,,,,,,1700000,,,,,,,-0.0125,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,-0.1125,,,,,,,,,,,,,,,453400000,,,453400000,,,453400000,,,,,,,,,,,,,,,,,,,,,,,-8600000,,,,,,,-0.1125,,,,
1984-12-31,,60400000.0,,,44200000.0,,-224600000.0,,159700000.0,177100000.0,,,,,,,,,1493700000.0,,326100000.0,,1537900000.0,,1998100000.0,,,,43800000.0,,,,,43800000.0,,,1002900000,,,-1203100000,,,-1203100000,,,,1559300000.0,,460200000.0,,,386500000.0,1718300000.0,,,,258800000.0,438800000.0,,,,,,,981100000.0,-14300000,,,15200000.0,,1172800000.0,32000000.0,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,0.0525,,,,,,,,,,,,,,,696800000,,,696800000,,,696800000,,,,,,,,,,,,,,,,,,,,,,,6900000,,,,,,,0.0525,,,,
1985-06-30,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,557400000,,,557400000,,,557400000,,,,,,,,,,,,,,,,,,,,,,,11800000,,,,,,,0.1,,,,
1985-09-30,,,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,,,,,,,,,759300000,,,759300000,,,759300000,,,,,,,,,,,,,,,,,,,,,,,5600000,,,,,,,0.0325,,,,
1985-12-31,,71600000.0,,,29000000.0,,-275600000.0,,191600000.0,160200000.0,,,,,,,,,1463100000.0,,288900000.0,,1492100000.0,,1994900000.0,,,,71500000.0,,,,,71500000.0,,,648100000,,,-1883300000,,,-1883300000,,,,1512000000.0,,502800000.0,,,360500000.0,1738700000.0,,,,283800000.0,482900000.0,,,,,,,903800000.0,10400000,,,22100000.0,,1151500000.0,56100000.0,,,,,
1986-03-31,,,,,,,,,,,,,,,,,,,,,,-0.455,,,,,,,,,,,,,,,578900000,,,578900000,,,578900000,,,,,,,,,,,,,,,,,,,,,,,-41300000,,,,,,,-0.455,,,,
1986-06-30,,,,,,,,,,,,,,,,,,,,,,-0.1225,,,,,,,,,,,,,,,447700000,,,447700000,,,447700000,,,,,,,,,,,,,,,,,,,,,,,-10000000,,,,,,,-0.1225,,,,
