date,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyInventory,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyNetOtherFinancingCharges,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyOperatingIncome,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyBasicAverageShares,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentDeferredRevenue
2002-09-30,0.27,111000000,110000000,-107000000,110000000,64000000,102000000,12000000.0,160000000,,291000000,,-5000000,1207000000,776000000,668000000,,,747000000,246000000,456000000.0,6000000.0,,100000000.0,612000000,801000000,505000000,0,1145000000,,4000000.0,12000000,-676000000.0,-34000000,2297000000,3051000000,110000000,,,-8000000,,1588000000,611000000.0,126000000,146000000,,-152000000,656000000,226000000,-8000000.0,505000000,-171000000,,754000000,0.24,,50000000,372000000,113000000,,1448000000,1906000000,-2000000.0,86000000,296000000.0,,849000000,153000000,3000000.0,1028000000,402000000.0,1579000000,-98000000,0,-560000000,,
2002-12-31,0.49,113000000,198000000,117000000,198000000,266000000,98000000,12000000.0,169000000,,310000000,,-9000000,1241000000,669000000,628000000,,,747000000,274000000,463000000.0,5000000.0,,114000000.0,505000000,974000000,622000000,0,1143000000,,4000000.0,12000000,,-1180000000,2248000000,3221000000,198000000,,,-10000000,,1675000000,812000000.0,219000000,166000000,,-44000000,718000000,333000000,-18000000.0,622000000,-161000000,,973000000,0.43,,-36000000,493000000,202000000,,1403000000,2078000000,-8000000.0,105000000,352000000.0,,845000000,351000000,4000000.0,1025000000,408000000.0,1734000000,-1446000000,12000000,-650000000,,
2003-03-31,0.41,119000000,174000000,57000000,174000000,265000000,98000000,3000000.0,167000000,7000000.0,301000000,,5000000,1186000000,677000000,657000000,,,745000000,252000000,476000000.0,5000000.0,-13000000.0,113000000.0,622000000,1076000000,679000000,0,1186000000,,4000000.0,11000000,,1452000000,2236000000,3382000000,174000000,-2000000.0,,-9000000,,1818000000,816000000.0,182000000,162000000,0.0,-25000000,709000000,295000000,-19000000.0,679000000,-200000000,,1146000000,0.37,,9000000,434000000,180000000,,1393000000,2196000000,,85000000,397000000.0,,843000000,524000000,6000000.0,1062000000,429000000.0,1620000000,1187000000,-8000000,-756000000,,
2003-06-30,,124000000,160000000,70000000,160000000,287000000,93000000,11000000.0,174000000,18000000.0,319000000,,-1000000,1125000000,708000000,611000000,,,745000000,255000000,,,-13000000.0,116000000.0,679000000,1194000000,749000000,0,1235000000,,4000000.0,11000000,-1003000000.0,128000000,2201000000,3517000000,160000000,0.0,,-9000000,,1966000000,955000000.0,173000000,158000000,1000000.0,0,640000000,289000000,-15000000.0,749000000,-222000000,,1316000000,,,-18000000,428000000,165000000,,1363000000,2282000000,,81000000,445000000.0,,838000000,685000000,5000000.0,1111000000,,1553000000,-159000000,5000000,-855000000,,
2003-09-30,0.44,138000000,198000000,85000000,198000000,234000000,86000000,333000000.0,169000000,47000000.0,349000000,,-12000000,1272000000,345000000,708000000,,,743000000,247000000,499000000.0,,,,749000000,1349000000,834000000,0,1228000000,,4000000.0,12000000,-1145000000.0,146000000,2270000000,3814000000,198000000,-18000000.0,,-8000000,,2041000000,1073000000.0,221000000,174000000,,-77000000,759000000,221000000,-16000000.0,834000000,-176000000,,1544000000,0.4,,-30000000,468000000,201000000,,1441000000,2586000000,,78000000,515000000.0,,829000000,883000000,3000000.0,1090000000,445000000.0,1740000000,-88000000,27000000,-951000000,,
2003-12-31,0.46,157000000,205000000,-131000000,205000000,94000000,89000000,0.0,166000000,6000000.0,383000000,,-4000000,1299000000,680000000,912000000,,,741000000,239000000,500000000.0,,,,834000000,1278000000,703000000,0,1274000000,,6000000.0,12000000,-961000000.0,-40000000,2302000000,4040000000,205000000,-18000000.0,,-7000000,,2172000000,901000000.0,222000000,191000000,,-216000000,786000000,222000000,-19000000.0,703000000,-213000000,,1738000000,0.41,,-35000000,461000000,211000000,,1472000000,2766000000,,73000000,575000000.0,,830000000,1088000000,6000000.0,1117000000,450000000.0,1760000000,-134000000,-12000000,-1055000000,,
2004-03-31,0.35,159000000,159000000,33000000,159000000,233000000,88000000,0.0,169000000,36000000.0,482000000,,-6000000,1087000000,537000000,649000000,,,741000000,242000000,498000000.0,,-27000000.0,105000000.0,703000000,1363000000,736000000,0,1328000000,,4000000.0,11000000,-1013000000.0,80000000,2095000000,4003000000,159000000,0.0,,-7000000,,2315000000,961000000.0,59000000,181000000,,91000000,725000000,164000000,-2000000.0,736000000,-207000000,,1908000000,0.32,,-98000000,301000000,46000000,,1266000000,2675000000,0.0,73000000,627000000.0,,829000000,1248000000,-113000000.0,1169000000,455000000.0,1388000000,-153000000,7000000,-1146000000,,
2004-06-30,,180000000,-34000000,-314000000,-34000000,74000000,100000000,0.0,161000000,7000000.0,449000000,,-26000000,1107000000,504000000,691000000,,,739000000,227000000,,,-27000000.0,101000000.0,736000000,1183000000,422000000,0,1481000000,,4000000.0,10000000,-1024000000.0,-156000000,2087000000,3942000000,-34000000,0.0,,-9000000,,2540000000,887000000.0,2000000,138000000,,-6000000,740000000,103000000,1000000.0,422000000,-366000000,,1855000000,,,33000000,229000000,-30000000,,1248000000,2461000000,,66000000,761000000.0,,839000000,1214000000,4000000.0,1301000000,,1336000000,-230000000,-22000000,-1239000000,,
2004-09-30,0.12,180000000,54000000,36000000,54000000,116000000,99000000,0.0,152000000,29000000.0,379000000,,3000000,1283000000,488000000,825000000,,,739000000,217000000,494000000.0,,-28000000.0,113000000.0,422000000,1202000000,458000000,0,1467000000,,4000000.0,11000000,-963000000.0,19000000,2102000000,4014000000,54000000,0.0,,-7000000,,2633000000,981000000.0,58000000,140000000,,-52000000,772000000,171000000,-2000000.0,458000000,-81000000,,1912000000,0.11,,70000000,275000000,56000000,,1264000000,2547000000,,65000000,744000000.0,,838000000,1268000000,2000000.0,1287000000,462000000.0,1558000000,-97000000,1000000,-1346000000,,
2004-12-31,0.31,184000000,144000000,188000000,144000000,381000000,114000000,15000000.0,158000000,12000000.0,362000000,,5000000,1467000000,473000000,878000000,,,738000000,233000000,500000000.0,,-13000000.0,120000000.0,458000000,1476000000,646000000,0,1445000000,,4000000.0,11000000,-1067000000.0,293000000,2270000000,4310000000,144000000,-1000000.0,,-7000000,,2708000000,979000000.0,147000000,148000000,,107000000,878000000,267000000,-15000000.0,646000000,-191000000,,2040000000,0.29,,17000000,380000000,148000000,,1418000000,2865000000,,75000000,830000000.0,,852000000,1412000000,4000000.0,1261000000,466000000.0,1847000000,-88000000,-2000000,-1447000000,,
