date,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGoodwill,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest
1996-03-31,-100000.0,,,700000.0,700000.0,600000,,0.001667,,45900000,,0,,4400000,6900000,,3400000,,5300000,50900000,400000,,3100000,2600000,-9100000,200000,,-100000.0,100000.0,,2500000,0,,-100000,,7800000,142124000.0,-300000.0,3000000,0.0,4600000.0,3000000,0.001667,900000,,,100000.0,,900000,600000,2900000,,300000.0,2900000,,100000.0,,46500000,2900000,0,,142124000.0,100000,,,43500000,46500000,,3000000,100000.0,-100000,,,51300000,400000,0,5400000
1996-06-30,-200000.0,,,800000.0,3700000.0,400000,,0.005,,124600000,,0,,4600000,8400000,,3500000,,5200000,129300000,500000,,4600000,3900000,-5500000,1000000,,-100000.0,73400000.0,,3800000,73400000,,100000,,9500000,158208000.0,-300000.0,75600000,,4700000.0,5300000,0.005,1000000,,,,,1100000,900000,3600000,,500000.0,3600000,,,,122000000,3600000,-3200000,,158208000.0,100000,,,0,122000000,,5000000,100000.0,0,,,129800000,500000,0,5200000
1996-09-30,-100000.0,,,1000000.0,33100000.0,700000,,0.006667,,131800000,,0,100000.0,5700000,10500000,,4800000,,6000000,137200000,700000,,6300000,4800000,-200000,1000000,,,0.0,-300000.0,4800000,0,,-3700000,,11700000,159048000.0,-300000.0,-24500000,,5200000.0,3800000,0.006667,900000,,,100000.0,,1200000,1600000,5300000,,600000.0,5300000,,,,97600000,5300000,-28300000,,159048000.0,0,-28000000.0,,0,97600000,,3500000,100000.0,0,,,137900000,700000,0,6100000
1996-12-31,-100000.0,,,2600000.0,42200000.0,800000,,,,141900000,,0,0.0,7300000,14100000,,6100000,,7700000,147500000,2100000,,8300000,7000000,6700000,1400000,,,400000.0,-1600000.0,6800000,300000,,1800000,,15500000,,-500000.0,1600000,,6800000.0,10100000,,1000000,,,,,1400000,1500000,6900000,,700000.0,6900000,,,,99100000,6900000,-8800000,,,200000,-7200000.0,,0,99100000,,8500000,100000.0,-100000,,,149600000,2100000,0,7700000
1997-03-31,-100000.0,11600000.0,,4200000.0,41600000.0,700000,,0.008333,,150500000,,0,0.0,9500000,19700000,,7700000,,12500000,159500000,3500000,,11700000,10500000,14200000,4200000,,100000.0,200000.0,-1700000.0,10200000,200000,,3600000,,21600000,162571998.0,-700000.0,11300000,,11700000.0,12300000,0.008333,1500000,,,,,1900000,1600000,7500000,,800000.0,7500000,,,,110400000,7500000,-1200000,,162571998.0,300000,-11100000.0,,99100000,110400000,,10600000,100000.0,0,,,163000000,3500000,0,12500000
1997-06-30,0.0,18400000.0,,5000000.0,61700000.0,500000,,0.008333,,161700000,,0,0.0,11800000,22500000,,9900000,,49200000,242300000,3900000,,13000000,11000000,22500000,4700000,,,500000.0,-700000.0,10700000,400000,,93200000,,24500000,163771998.0,-1100000.0,62100000,,48700000.0,81100000,0.008333,1600000,,,57900000.0,,2000000,2300000,8300000,,800000.0,8300000,,,,172500000,8300000,-19400000,,163771998.0,300000,-37100000.0,,0,172500000,,80400000,,-100000,,,268800000,26500000,22600000,107100000
1997-09-30,-600000.0,8200000.0,,6000000.0,83000000.0,600000,,0.013333,,174900000,,0,0.0,14700000,31900000,,12600000,,35800000,242100000,4500000,,20500000,17600000,35600000,7400000,,,100000.0,-1100000.0,17200000,100000,,-22800000,-1700000.0,34900000,164047998.0,-1500000.0,-23500000,,35200000.0,-7100000,0.013333,1700000,,,54200000.0,,3000000,3100000,13100000,,1400000.0,13100000,,,,149100000,13100000,-16500000,,164047998.0,400000,-23600000.0,,0,149100000,,-8200000,,0,,,264900000,22800000,18300000,90000000
1997-12-31,-900000.0,37400000.0,,8800000.0,103400000.0,1000000,,,,196800000,,0,-2600000.0,22700000,39200000,,15900000,,35400000,258400000,6700000,,19600000,17200000,48100000,7100000,,,2200000.0,-2600000.0,16500000,2200000,,-13700000,900000.0,42900000,,-2100000.0,-9000000,,34400000.0,11400000,,6100000,,,50500000.0,,3700000,2900000,12500000,,2300000.0,12500000,,,,140100000,12500000,-22500000,,,700000,-54700000.0,,0,140100000,,8800000,,0,,,282700000,24300000,17600000,85900000
1998-03-31,,19800000.0,,11200000.0,124300000.0,900000,,0.0025,,203600000,,0,-19700000.0,46900000,45500000,,18700000,,43400000,266300000,10500000,,1200000,-400000,48900000,400000,,-100000.0,1800000.0,-4100000.0,-1400000,1800000,,-9900000,-4900000.0,49300000,167236000.0,-700000.0,-21100000,,27500000.0,14600000,0.0025,27200000,,,46600000.0,,3800000,2700000,800000,,2300000.0,800000,,,,119000000,800000,-37400000,,167236000.0,1000000,-33400000.0,,140100000,119000000,,10500000,15000000.0,0,,,293600000,27300000,16800000,90000000
1998-06-30,,98400000.0,,16800000.0,98800000.0,2100000,,-0.0075,,201500000,,0,700000.0,62300000,52800000,,22800000,,109200000,291200000,12900000,,-6900000,-8200000,44400000,-2500000,,200000.0,900000.0,-2900000.0,-9500000,900000,,2000000,,56200000,167648000.0,-3900000.0,33800000,42900000.0,107100000.0,11900000,-0.0075,38200000,,,43100000.0,,3400000,2600000,-4400000,,3400000.0,-4400000,,200000.0,,152800000,-4400000,20900000,,167648000.0,1300000,-75300000.0,,0,152800000,,9000000,,0,,9100000.0,353800000,62600000,40600000,152300000
