date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyChangeInInventory,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1999-03-31,181200000,1500000,169100000,187000000,2200000,,633300000,11300000,446300000,0.185,200000,2800000,,350300000,67800000,,,-100000,19900000,61081081.0,11300000,11300000,181000000,-3400000,0,24600000,-300000.0,13100000.0,,-5900000.0,435900000,,5500000,,,,5000000,0.185,283000000,-600000,,-3200000,700000,,700000,700000,3200000,4100000.0,-10000000,151400000.0,,,455800000,4300000,381700000,14900000,-2800000,-5700000,13600000,378500000,,,200000.0,,-4800000,61081081.0,17700000,,,,,,,,,,
1999-06-30,290700000,9200000,409600000,413300000,5800000,,1006800000,12100000,593500000,0.19,1300000,3900000,,700300000,90000000,,,5500000,26200000,63684211.0,12100000,12100000,289400000,-143400000,12100000,55700000,-100000.0,-14300000.0,,-13800000.0,836300000,,0,,,,9600000,0.19,306500000,-141600000,,-6400000,2100000,,12100000,12100000,4700000,22700000.0,-4800000,370500000.0,,,862500000,11200000,509900000,16600000,-2000000,143700000,16400000,503500000,,,0.0,,11400000,63684211.0,20500000,,,,,,,,,,
1999-09-30,335100000,-190300000,507500000,522200000,7300000,,1148300000,12100000,626100000,0.19,11900000,4700000,,842600000,83100000,,,-9100000,33300000,63684211.0,12100000,12100000,323200000,-34300000,3200000,92200000,-2900000.0,-36500000.0,,-14900000.0,1227500000,302400000.0,12100000,,,,12000000,0.19,305700000,142000000,,-10500000,3000000,,3200000,3200000,6600000,30900000.0,-32800000,447900000.0,,3300000.0,1260800000,-14000000,553500000,21300000,-176300000,39300000,28700000,543000000,,,,300000.0,-8900000,63684211.0,26000000,,,,,,,,,,
1999-12-31,392500000,-116300000,637500000,739000000,7000000,,1223000000,-138800000,484000000,,19000000,5900000,,1030000000,40700000,,,21400000,31000000,,-137300000,-138800000,373500000,-5000000,53800000,72700000,-149100000.0,72500000.0,,-17100000.0,2091900000,193300000.0,3200000,,,,12900000,,193000000,100000,,-11600000,103600000,,53800000,53800000,6600000,109400000.0,41900000,485400000.0,,-300000.0,2122900000,-107700000,454900000,18100000,-8600000,163200000,42700000,443300000,,,,51200000.0,50600000,,24000000,,,,,,,,,,
2000-03-31,285616000,-30543000,509022000,562936000,8626000,,1036713000,60155000,473777000,0.855,12516000,10138000,,794638000,32979000,,,-14229000,36552000,68772000.0,64300000,60155000,273100000,216902000,7193000,52848000,48188000.0,-18163000.0,502895000.0,-11184000.0,962767000,241278000.0,53768000,,,,18764000,0.855,242075000,0,,-14774000,0,,7193000,7193000,9158000,,-47489000,480559000.0,,797000.0,999319000,-28345000,455572000,17788000,-2198000,-235132000,28463000,440798000,,,-2961000.0,,-46575000,68772000.0,27926000,,,,,,,,,,
2000-06-30,276821000,18587000,310141000,350003000,7949000,,819309000,6061000,469306000,0.085,9571000,4661000,,586962000,29289000,,,-10300000,32774000,68772000.0,17063000,6061000,267250000,1409000,1600000,32333000,0.0,20656000.0,316070000.0,-15789000.0,706193000,231679000.0,7193000,,,,12610000,0.085,232347000,0,,-18368000,0,,1600000,1600000,6150000,3000000.0,3542000,282478000.0,,668000.0,738967000,21937000,458385000,20164000,-3350000,-28939000,24663000,440017000,,,7673000.0,,-5593000,68772000.0,24825000,,,,,,,,,,
2000-09-30,293600000,-3021000,370536000,408470000,9911000,,886841000,4516000,478371000,0.065,1600000,5349000,,664136000,39530000,,,-761000,32560000,68772000.0,4516000,4516000,292000000,-1939000,3272000,22287000,-6600000.0,10046000.0,382911000.0,-16296000.0,724366000,220134000.0,1600000,,,,15260000,0.065,222705000,0,,-23641000,0,,3272000,3272000,6478000,,-13078000,346634000.0,,2571000.0,756926000,-1082000,462482000,17300000,-1939000,4693000,23902000,438841000,,,2131000.0,,1672000,68772000.0,22649000,,,,,,,,,,
2000-12-31,321009000,-31137000,350793000,397904000,14335000,,885801000,6770000,487897000,,1009000,4375000,,671802000,47252000,,,18542000,32797000,,6770000,6770000,320000000,-5371000,3426000,46780000,-363000.0,-24493000.0,347698000.0,-16296000.0,4113178000,210799000.0,3272000,,,,18710000,,213999000,-657000,,-26974000,0,,3426000,3426000,6905000,1300000.0,-42986000,328542000.0,,3200000.0,4145975000,-26021000,467619000,14087000,-5116000,31546000,20951000,440645000,,,820000.0,,154000,,18462000,,,,,,,,,,
2001-03-31,317559000,9102000,363733000,403693000,8989000,,889477000,13015000,485784000,0.185,1009000,4670000,,681292000,47739000,,,0,32730000,68772000.0,12507000,13015000,316550000,-2247000,1202000,73924000,,-27144000.0,328567000.0,-16295000.0,1487394000,204983000.0,3426000,,,,13659000,0.185,208185000,0,,-30933000,0,,1202000,1202000,6606000,10500000.0,-6897000,331960000.0,,3202000.0,1520124000,10568000,468978000,19071000,-1466000,-10545000,21273000,438045000,,,121000.0,,-2224000,68772000.0,23741000,,,,,,,,,,
2001-06-30,373597000,-65493000,537829000,566453000,15041000,,1213832000,7067000,647379000,0.095,1017000,6503000,,911426000,59137000,,,98237000,36387000,71370000.0,7067000,7067000,372580000,-166672000,1054000,125852000,,-49975000.0,439547000.0,-16801000.0,1550230000,290965000.0,1202000,,,,21544000,0.095,302406000,0,,-36651000,0,,1054000,1054000,8101000,96527000.0,-77222000,423305000.0,,11441000.0,1586617000,-57547000,624893000,14843000,-7946000,224071000,17997000,588242000,,,5620000.0,,-148000,71370000.0,21346000,,,,,,,,,,
