date,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,quarterlyBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-04-30,,,,,,0.01,,,,,,,,,1134892000.0,,,,,,,,,,,95900000,,,,,95900000,,,,,,,,,,95900000,,,,,,,1134892000.0,,,,,0.01,,,,,,,,,3400000,,,,,,,,,,,,,,,
1984-07-31,,,,,,0.01,,,,,,,,,1134892000.0,,,,,,,,,,,119100000,,,,,119100000,,,,,,,,,,119100000,,,,,,,1134892000.0,,,,,0.01,,,,,,,,,3800000,,,,,,,,,,,,,,,
1984-10-31,,,,,,0.01,,,,,,,,,1134892000.0,,,,,,,,,,,100500000,,,,,100500000,,,,,,,,,,100500000,,,,,,,1134892000.0,,,,,0.01,,,,,,,,,3300000,,,,,,,,,,,,,,,
1985-01-31,,23700000.0,,,,,,,,80200000.0,1900000.0,-4100000.0,,300000.0,,52100000.0,52100000.0,,,,,,,,,117400000,,,,77700000.0,-290300000,73600000.0,45500000.0,,,,,,,,-290300000,121900000.0,,30700000.0,45800000.0,147400000.0,,,,247900000.0,,100500000.0,,1400000.0,,,,167700000.0,3200000.0,,,3600000,,,,2600000.0,84000000.0,117900000.0,,,,,,,,,
1985-04-30,,,,,,0.01,,,,,,,,,1137786000.0,,,,,,,,,,,145000000,,,,,145000000,,,,,,,,,,145000000,,,,,,,1137786000.0,,,,,0.01,,,,,,,,,1900000,,,,,,,,,,,,,,,
1985-07-31,,,,,,0.01,,,,,,,,,1137786000.0,,,,,,,,,,,174200000,,,,,174200000,,,,,,,,,,174200000,,,,,,,1137786000.0,,,,,0.01,,,,,,,,,2500000,,,,,,,,,,,,,,,
1985-10-31,,,,,,0.01,,,,,,,,,1137786000.0,,,,,,,,,,,177700000,,,,,177700000,,,,,,,,,,177700000,,,,,,,1137786000.0,,,,,0.01,,,,,,,,,1200000,,,,,,,,,,,,,,,
1986-01-31,,24600000.0,,,,,,,,89100000.0,6200000.0,-7800000.0,,10400000.0,,9700000.0,9700000.0,,,,,,,,,203700000,,,,168600000.0,-478000000,160800000.0,73200000.0,,,,,,,,-478000000,207500000.0,,38900000.0,83600000.0,190100000.0,,,,380200000.0,,190100000.0,,900000.0,,,,291100000.0,4700000.0,,,2600000,,,,6700000.0,152700000.0,199900000.0,,,,,,,,,
1986-04-30,,,,,,0.01,,,,,,,,,1140631000.0,,,,,,,,,,,222600000,,,,,222600000,,,,,,,,,,222600000,,,,,,,1140631000.0,,,,,0.01,,,,,,,,,5100000,,,,,,,,,,,,,,,
1986-07-31,,,,,,0.01,,,,,,,,,1144429000.0,,,,,,,,,,,263400000,,,,,263400000,,,,,,,,,,263400000,,,,,,,1144429000.0,,,,,0.01,,,,,,,,,7100000,,,,,,,,,,,,,,,
