date,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyBasicEPS,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1984-03-31,,,265500000,265500000,265500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,13800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,292300000,292300000,292300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,18100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,294600000,294600000,294600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,18100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,-715400000,-715400000,306000000,,,,,276500000.0,,522900000.0,167400000.0,430000000.0,,,,418600000.0,,,444000000.0,,,,,,74100000.0,,,16500000.0,,,22400000,22400000.0,,109100000.0,,,,32900000.0,,38300000.0,-273500000.0,,18500000.0,,148200000.0,,,,,249400000.0,,134500000.0,290500000.0,2800000.0,720500000.0,,42600000.0,42600000.0,,,,,,,,,,,,,,,,,
1985-03-31,,,276900000,276900000,276900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,311900000,311900000,311900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,19100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,297100000,297100000,297100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,19400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,-734700000,-734700000,322400000,,,,,275800000.0,,545100000.0,149000000.0,487000000.0,,,,469300000.0,,,502600000.0,,,,,,81400000.0,,,19400000.0,,,25700000,38900000.0,,126800000.0,,,,12100000.0,,39300000.0,-293000000.0,,26000000.0,,158700000.0,,,,,252100000.0,,136900000.0,291400000.0,,778400000.0,,59400000.0,59400000.0,,,,,,,,,,,,,,,,,
1986-03-31,,,324200000,324200000,324200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,14700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,402600000,402600000,402600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
