date,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyEbitda,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCashDividendsPaid,quarterlyResearchAndDevelopment,quarterlyStockBasedCompensation
1998-03-31,2516996500,,,201959600.0,,373025380,,90981800.0,0.49999,90981800,,,,401019780,15996800.0,189965806.0,,,,,,386822620,767946380,196860620,-2470005900.0,189965806.0,,,,1120975760,897020560,7081983320.0,,599979980.0,,52989400.0,147970400.0,,,,4611977420,,279944000,,198060380,,,,5815036760,4918016200,0.49999,1941011720.0,,183063380,220055980.0,94981000,94981000,,2161067700,440011980,44991000.0,,-3999200,569886000,36992600.0,,,94981000,,,104079180.0,,,3282043460,,,
1998-06-30,2600779740,-33993200.0,,210957800.0,23995200.0,407918400,,99980000.0,0.449965,99980000,,,,464907000,7998400.0,186643855.0,0.0,,-163867220.0,,-100879820.0,393121360,797940380,191061780,-2628774140.0,186643855.0,,307938400.0,9098180.0,1133873180,994900980,7248350040.0,,768946180.0,,46990600.0,130973800.0,,,-109978000.0,4619575900,,290041980,,198960200,,,,5900419680,4905518700,0.449965,1919815960.0,144071180.0,205958800,224955000.0,83983200,83983200,202059580.0,2144770960,378924200,35992800.0,,-23995200,598980180,36992600.0,0.0,-197860420.0,83983200,,-67986400.0,74985000.0,,,3278644140,99980.0,,
1998-09-30,2692761340,-10997800.0,,219956000.0,-1999600.0,395920800,,302939400.0,,302939400,,,,481903600,5998800.0,,0.0,,-229054180.0,,68986200.0,397920400,822935380,208958200,-2792741340.0,,,395920800.0,202959400.0,1216856580,1202859380,7492301240.0,,775944780.0,,54989000.0,146970600.0,,,-13997200.0,4699559900,,306038780,,218056380,,,,6197360280,4994500900,,2032793360.0,166866620.0,206958600,234953000.0,91981600,91981600,188962200.0,2267746360,428914200,92981400.0,,28994200,604879000,32993400.0,0.0,-262047580.0,91981600,,-22995400.0,74985000.0,,,3484602940,0.0,,
1998-12-31,2662967300,-27094580.0,,216956600.0,5998800.0,406918600,,195960800.0,0.50035,195960800,,,,451009780,8998200.0,195823759.0,303039380.0,,-224955000.0,,-159968000.0,406118760,816036760,213157360,-2963007280.0,195823759.0,99980.0,305038980.0,-106978600.0,1123975160,1143971160,7668965900.0,,831033760.0,,54989000.0,152969400.0,,,-106978600.0,4705958620,,311937600,,195960800,,,,6131973360,4988002200,0.50035,2084982920.0,80083980.0,213957200,241051780.0,97980400,97980400,192961400.0,2326034700,361027780,36992600.0,,-23995200,620075960,26994600.0,195960800.0,-252049580.0,97980400,,-77984400.0,65086980.0,,,3450009860,-127974400.0,,
1999-03-31,2601998350,-34874420.0,,222988450.0,2996700.0,395002400,,199999950.0,0.449775,199999950,,,,504047850,13093450.0,204444444.0,195960800.0,,-184040400.0,,-130986450.0,378052950,777011300,188005950,-3129034700.0,204444444.0,-199930.0,353931370.0,3930150.0,1284957200,1127036200,7897049500.0,,770014800.0,,40979500.0,132933500.0,,,-23955900.0,4768014800,,281958950,,194002950,,,,6179008950,5051972750,0.449775,1983008000.0,169890970.0,204997450,291054400.0,91954000,91954000,190047000.0,2274062400,498950400,37981000.0,,-17991000,583008350,28985500.0,199999950.0,-218914820.0,91954000,,-24964100.0,60969500.0,,,3559019600,-152985050.0,,
1999-06-30,2688954850,-160019950.0,,526036850.0,,408995400,,459969900.0,0.44982,459969900,,,,504047850,8095950.0,193314002.0,199999950.0,984007750.0,-186006950.0,,263967950.0,364017900,789005300,170014950,-3296950700.0,193314002.0,,342028900.0,260069900.0,1575012100,1323038150,8140927500.0,,856971300.0,,27986000.0,114942500.0,,,-36081950.0,4843976800,,326936450,,209994950,,,,6769013800,5445975650,0.44982,2082958000.0,156021950.0,214992450,404097850.0,86956500,86956500,194002950.0,2487055850,744027800,37981000.0,,-16991500,579010350,28985500.0,459969900.0,-346026900.0,86956500,,-73063450.0,75962000.0,,,4062067950,0.0,,
1999-09-30,2770022970,-99978850.0,,538046190.0,,451039580,,16998300.0,,16998300,,,,664033590,662033790.0,,459969900.0,984001590.0,-281010040.0,,134975700.0,360923390,800973270,174911050,-3455954370.0,,,425958040.0,180944750.0,1616038380,1507049280,8454954420.0,,938006190.0,,22947350.0,103950100.0,,,61027050.0,4999000050,,313968600,,175022640,,,,7139985930,5632936650,,2388961080.0,144948000.0,265027240,347965200.0,81002750,81002750,186012340.0,2736926280,638036190,123932850.0,,-21021500,625950630,24997500.0,641035890.0,-379988990.0,81002750,,-46065840.0,95890410.0,,,4352964660,-12450.0,,
1999-12-31,2713000000,-399000000.0,,,,416000000,,356000000.0,0.40004,356000000,,,,650000000,116000000.0,194980502.0,801000000.0,,,2000000.0,-215000000.0,378000000,812000000,177000000,-3456300000.0,194980502.0,-110000000.0,169000000.0,-445000000.0,2053000000,1349000000,8484300000.0,,881100000.0,,32000000.0,110000000.0,,,,5028000000,,328000000,,219000000,,,,7039000000,5690000000,0.40004,1927000000.0,169000000.0,215000000,330000000.0,78000000,78000000,201000000.0,2257000000,1075000000,69000000.0,,-18000000,593000000,,356000000.0,-399000000.0,78000000,,0.0,662000000.0,,,4310000000,-135000000.0,,
2000-03-31,2645735400,184021500.0,,,,443955600,,334966500.0,0.340111,334966500,,,121987800.0,719928000,158984100.0,196876000.0,356000000.0,983901600.0,,-200.0,-196958800.0,356964300,783921600,151984800,-3455654400.0,196876000.0,,383944700.0,-31952300.0,2069793000,1309869000,8482151700.0,,691930800.0,,27997200.0,94990500.0,,,,5026497300,,342965700,,187981200,,,,6975302400,5665433400,0.340111,1966803300.0,-21014800.0,238976100,277972200.0,66993300,66993300,204959400.0,2244775500,1006899300,73992600.0,,-5999400,595940400,,163983600.0,-218938200.0,66993300,,-131986800.0,638936100.0,,,4314568500,-133973100.0,,
2000-06-30,2717456400,-15975300.0,,567886400.0,,401919600,,11997600.0,0.360003,438912200,,,121975600.0,715856800,4999000.0,196876196.0,163983600.0,983803200.0,-190921300.0,-200.0,72026800.0,365926800,813837200,152969400,-3914217000.0,196876196.0,,331878300.0,181011500.0,1902619400,1344731000,8979203800.0,,763847200.0,,17996400.0,89982000.0,,,-21970300.0,5064986800,,283943200,426914600.0,258948200,,,,7036592400,5691861400,0.360003,2231553600.0,140957000.0,188962200,169966000.0,71985600,71985600,212916800.0,2401519600,902819400,77984400.0,,-3999200,554889000,35992800.0,344931000.0,-222893600.0,71985600,,-117963200.0,58988200.0,,,4304139000,26900.0,,
