date,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyEndCashPosition,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses
1984-03-31,,,,,,,0.01,,,,,,,,,,,,,,,,,,,5358976000.0,,,,371600000,,,371600000,,,,,,,,,,371600000,,,,,,,,,,,,0.01,,,,,,,,,,50300000,,,,,,,,,,5358976000.0,,
1984-06-30,,,,,,,0.01,,,,,,,,,,,,,,,,,,,5394240000.0,,,,410100000,,,410100000,,,,,,,,,,410100000,,,,,,,,,,,,0.01,,,,,,,,,,54700000,,,,,,,,,,5394240000.0,,
1984-09-30,,,,,,,0.02,,,,,,,,,,,,,,,,,,,5410816000.0,,,,431600000,,,431600000,,,,,,,,,,431600000,,,,,,,,,,,,0.02,,,,,,,,,,70000000,,,,,,,,,,5410816000.0,,
1984-12-31,,,,,,,,,1360200000.0,,,154200000.0,-386500000.0,65500000.0,230700000.0,230700000.0,,,,,,,,,,,,,,416100000,,1164800000.0,-962800000,,778300000.0,,324800000.0,,,,,,-962800000,,676600000.0,278900000.0,,,,390300000.0,958300000.0,2029400000.0,,1071100000.0,,19900000.0,,,,,292800000.0,,669200000.0,,23200000,,219300000.0,,146300000.0,,112700000.0,,,,,,
1985-03-31,,,,,,,0.01,,,,,,,,,,,,,,,,,,,5461184000.0,,,,375200000,,,375200000,,,,,,,,,,375200000,,,,,,,,,,,,0.01,,,,,,,,,,10800000,,,,,,,,,,5461184000.0,,
1985-06-30,,,,,,,0.01,,,,,,,,,,,,,,,,,,,5461184000.0,,,,360000000,,,360000000,,,,,,,,,,360000000,,,,,,,,,,,,0.01,,,,,,,,,,9200000,,,,,,,,,,5461184000.0,,
1985-09-30,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,5500928000.0,,,,311700000,,,311700000,,,,,,,,,,311700000,,,,,,,,,,,,-0.01,,,,,,,,,,-3600000,,,,,,,,,,5500928000.0,,
1985-12-31,,,,,,,,,1421500000.0,,,186900000.0,-490100000.0,88900000.0,361100000.0,361100000.0,,,,,,,,,,,,,,318000000,,1338300000.0,-1107200000,,848200000.0,,217800000.0,,,,,,-1107200000,,678200000.0,423700000.0,,,,306700000.0,1023900000.0,2151900000.0,,1128000000.0,,18900000.0,,,,,279800000.0,,730400000.0,,-14900000,,170800000.0,,270800000.0,,134000000.0,,,,,,
1986-03-31,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,5568960000.0,,,,280100000,,,280100000,,,,,,,,,,280100000,,,,,,,,,,,,-0.01,,,,,,,,,,-29800000,,,,,,,,,,5568960000.0,,
1986-06-30,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,5568960000.0,,,,305200000,,,305200000,,,,,,,,,,305200000,,,,,,,,,,,,-0.01,,,,,,,,,,-22900000,,,,,,,,,,5568960000.0,,
