date,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyCurrentAssets,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyBasicEPS,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyDilutedEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable
1991-03-31,,,,,,,,,,,,21900000,,,,,365815362.0,,,,,,,,,,,,0.00164,,,,,,,21900000,21900000,,,,,600000,600000,365815362.0,,,,,,,,,,,,,,,0.00164,,,,,,,600000,,,,,,,,,,,
1991-06-30,,,,,,,,,,,,28200000,,,,,365793030.0,,,,,,,,,,,,0.00246,,,,,,,28200000,28200000,,,,,900000,900000,365793030.0,,,,,,,,,,,,,,,0.00246,,,,,,,900000,,,,,,,,,,,
1991-09-30,,,,,,,,,,,,34400000,,,,,487753816.0,,,,,,,,,,,,0.0041,,,,,,,34400000,34400000,,,,,2000000,2000000,487753816.0,,,,,,,,,,,,,,,0.0041,,,,,,,2000000,,,,,,,,,,,
1991-12-31,,,,,-100000.0,,,5000000.0,,,16500000.0,-73700000,,,,,,,,,,,39000000.0,,57600000.0,,,,,500000.0,,4200000.0,,,,-73700000,39600000,,,,,2300000,2300000,,0.0,,,,,,,43300000.0,,,14400000.0,14400000.0,,,,,,34000000.0,,,59700000.0,2300000,,2100000.0,,1600000.0,43200000.0,,,,,,
1992-03-31,,,,,0.0,-8300000.0,,9500000.0,,,17900000.0,2500000,0.0,6100000.0,0.0,-200000.0,96750264.0,3700000.0,-12600000.0,,,3600000.0,44600000.0,,64200000.0,800000.0,1400000.0,,0.00246,600000.0,2200000.0,4400000.0,,-200000.0,1000000.0,2400000,32700000,,-6800000.0,,-6000000.0,1400000,1400000,96750264.0,0.0,,,26600000.0,,,200000.0,55800000.0,,,8400000.0,8400000.0,-100000.0,100000.0,0.00246,14400000.0,,35100000.0,400000.0,,66900000.0,1400000,,2700000.0,-100000.0,2100000.0,49000000.0,-7000000.0,,,,,
1992-06-30,,,,,0.0,-6000000.0,,11700000.0,,,50200000.0,4000000,0.0,8200000.0,0.0,-100000.0,96750264.0,4300000.0,-8800000.0,,,4200000.0,23900000.0,,76300000.0,1400000.0,1400000.0,,0.00451,700000.0,3800000.0,4900000.0,,-100000.0,7100000.0,3900000,46000000,,-3600000.0,,3300000.0,2400000,2400000,96750264.0,0.0,,,37800000.0,,,200000.0,64600000.0,,,11700000.0,11700000.0,-12100000.0,0.0,0.00451,0.0,,12200000.0,300000.0,,79000000.0,2400000,,2700000.0,2000000.0,2000000.0,28800000.0,-3700000.0,,,,,
1992-09-30,,,,,0.0,-15800000.0,,12800000.0,,,52300000.0,3100000,0.0,8000000.0,0.0,-900000.0,96768581.0,5000000.0,-16100000.0,,,4900000.0,38000000.0,,86400000.0,1100000.0,3400000.0,,0.00287,1500000.0,3200000.0,,,-900000.0,8400000.0,3000000,45700000,,-13700000.0,,-6100000.0,2100000,2100000,96768581.0,4600000.0,0.0,,37700000.0,,,100000.0,80800000.0,,,5600000.0,5600000.0,,100000.0,0.00287,0.0,,20600000.0,,,90300000.0,2100000,,3900000.0,-14100000.0,2400000.0,38000000.0,-14600000.0,,,,,
1992-12-31,,2100000.0,,,0.0,-11600000.0,,12200000.0,,,55900000.0,4900000,0.0,10000000.0,0.0,-200000.0,,5200000.0,-9600000.0,,200000.0,5100000.0,43800000.0,,98900000.0,1700000.0,6800000.0,,,1700000.0,5000000.0,4600000.0,,-200000.0,11200000.0,4800000,58200000,-400000.0,-8000000.0,,3000000.0,3300000,3300000,,0.0,300000.0,,48200000.0,,,200000.0,90400000.0,,,8500000.0,8500000.0,,100000.0,,0.0,,31600000.0,-100000.0,,104300000.0,3300000,,5400000.0,0.0,3700000.0,48400000.0,-8200000.0,,,,,
1993-03-31,,2400000.0,,,0.0,-13500000.0,,15600000.0,,,58200000.0,2700000,0.0,8600000.0,0.0,-400000.0,97717289.0,6000000.0,-17800000.0,,,5900000.0,57700000.0,,115700000.0,900000.0,8500000.0,,0.00246,2000000.0,2600000.0,5600000.0,,-400000.0,11100000.0,2600000,45100000,-400000.0,-11700000.0,,-1000000.0,1700000,1700000,97717289.0,0.0,500000.0,,36500000.0,,,0.0,108200000.0,,,7500000.0,7500000.0,,100000.0,0.00246,8500000.0,,42100000.0,,,121500000.0,1700000,,5800000.0,0.0,3800000.0,63300000.0,-12100000.0,,,,,
1993-06-30,,2600000.0,,,0.0,-12700000.0,,16900000.0,,,61600000.0,4900000,0.0,11500000.0,0.0,-400000.0,97951723.0,6700000.0,-12500000.0,,,6600000.0,74600000.0,,128000000.0,1600000.0,11700000.0,,0.004921,2200000.0,4800000.0,-100000.0,,-400000.0,9500000.0,4800000,64500000,-400000.0,-9400000.0,,-300000.0,3200000,3200000,97951723.0,6300000.0,200000.0,,53000000.0,,,100000.0,120700000.0,,,7300000.0,7300000.0,,100000.0,0.004921,0.0,,51400000.0,,,136100000.0,3200000,,8100000.0,100000.0,5900000.0,74500000.0,-9800000.0,,,,,
1993-12-31,,3700000.0,,,0.0,-24700000.0,,19400000.0,,,69500000.0,5900000,0.0,14200000.0,0.0,-700000.0,98255749.0,8500000.0,-25300000.0,,,8300000.0,93600000.0,,164600000.0,2200000.0,8000000.0,,0.006028,3300000.0,5800000.0,11000000.0,,-700000.0,12100000.0,5700000,78900000,-400000.0,-20900000.0,,-9600000.0,3600000,3600000,98255749.0,0.0,,,64700000.0,,,100000.0,154300000.0,,,10300000.0,10300000.0,,200000.0,0.006028,19900000.0,,74200000.0,,,174100000.0,3600000,,9500000.0,100000.0,6200000.0,104600000.0,-21600000.0,,,,,
1994-03-31,,4200000.0,,,0.0,-12500000.0,,24100000.0,,,74100000.0,5900000,0.0,14600000.0,0.0,-800000.0,92684359.0,8900000.0,-15900000.0,,,8700000.0,125500000.0,,189700000.0,2100000.0,11700000.0,,0.006028,3800000.0,5800000.0,,,-800000.0,18400000.0,5700000,82600000,-400000.0,-8600000.0,,9200000.0,3700000,3700000,92684359.0,9600000.0,,,68000000.0,,,100000.0,170200000.0,,,19500000.0,19500000.0,,200000.0,0.006028,0.0,,91800000.0,,,199600000.0,3700000,,9900000.0,800000.0,6100000.0,125500000.0,-9400000.0,,,,,
1994-06-30,,4600000.0,,,0.0,-19700000.0,,32600000.0,,,78900000.0,7400000,-3600000.0,17900000.0,0.0,-4000000.0,98955379.0,10800000.0,-21900000.0,,,10600000.0,142500000.0,,219300000.0,2600000.0,5200000.0,,0.008215,4200000.0,7300000.0,12000000.0,,-400000.0,12600000.0,7100000,107800000,-400000.0,-14600000.0,,-6200000.0,4700000,4700000,98955379.0,0.0,0.0,,89900000.0,,,200000.0,206000000.0,,,13300000.0,13300000.0,,300000.0,0.008215,0.0,,109900000.0,,,233400000.0,4700000,2000000.0,14100000.0,0.0,7900000.0,154500000.0,-15000000.0,,,,,
1994-09-30,,4900000.0,,,0.0,-6000000.0,,27400000.0,,,84600000.0,10000000,100000.0,21500000.0,0.0,-600000.0,,12000000.0,1900000.0,,,11500000.0,136000000.0,,215200000.0,4000000.0,10800000.0,,,4500000.0,9700000.0,10300000.0,,-700000.0,-1700000.0,9500000,124000000,-400000.0,100000.0,,-2100000.0,5700000,5700000,,0.0,0.0,,102500000.0,,,100000.0,204000000.0,,,11200000.0,11200000.0,,500000.0,,0.0,,108600000.0,,,230900000.0,5700000,2000000.0,15700000.0,0.0,9200000.0,146300000.0,-600000.0,,,,,
1994-12-31,,5000000.0,,,0.0,-10200000.0,,24800000.0,,,88400000.0,6600000,0.0,17200000.0,0.0,-500000.0,98995669.0,11100000.0,-10400000.0,,,10600000.0,147900000.0,,233800000.0,2200000.0,14700000.0,,0.006389,4600000.0,6000000.0,12100000.0,,-500000.0,14500000.0,6100000,97000000,-400000.0,-5900000.0,,8100000.0,3800000,3800000,98995669.0,0.0,,,79800000.0,,,-100000.0,214500000.0,,,19300000.0,19300000.0,,500000.0,0.006389,11200000.0,,123100000.0,,,248400000.0,3800000,1900000.0,14600000.0,0.0,8100000.0,160000000.0,-6400000.0,,,,,
1995-03-31,,5300000.0,,,0.0,-18200000.0,,27700000.0,,,92700000.0,6400000,0.0,15800000.0,0.0,-800000.0,99343656.0,9800000.0,-17900000.0,,,9400000.0,169600000.0,,246400000.0,2100000.0,18600000.0,,0.006846,4900000.0,6000000.0,,,-800000.0,9300000.0,6000000,87100000,-400000.0,-13800000.0,,-5300000.0,3900000,3900000,99343656.0,10000000.0,,,71300000.0,,,0.0,232400000.0,,,14000000.0,14000000.0,,400000.0,0.006846,0.0,,131900000.0,,,262300000.0,3900000,1900000.0,15900000.0,300000.0,9100000.0,169600000.0,-14600000.0,,,,,
1995-06-30,,5400000.0,,,0.0,-5300000.0,,26700000.0,,,99000000.0,10100000,0.0,22100000.0,0.0,-500000.0,107355911.0,12500000.0,-7900000.0,,0.0,12000000.0,189800000.0,,272900000.0,3300000.0,7500000.0,,0.010047,5000000.0,9400000.0,-100000.0,,-500000.0,17700000.0,9600000,120500000,-400000.0,1400000.0,,18600000.0,6100000,6100000,107355911.0,13700000.0,100000.0,,98400000.0,,,200000.0,240300000.0,,,32600000.0,32600000.0,,500000.0,0.010047,0.0,,149400000.0,600000.0,,288700000.0,6100000,1900000.0,15800000.0,0.0,8900000.0,189700000.0,900000.0,,,,,
