date,quarterlyDilutedAverageShares,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyInventory,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyResearchAndDevelopment
1984-03-31,85384019.0,,,,,,,,,,,,,0.05,,,,,,,,120000000,,,,120000000,120000000,,,,,,,,,,,,,85384019.0,,,,,4300000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,
1984-06-30,85384019.0,,,,,,,,,,,,,0.06,,,,,,,,127000000,,,,127000000,127000000,,,,,,,,,,,,,85384019.0,,,,,5000000,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,
1984-09-30,85384019.0,,,,,,,,,,,,,0.06,,,,,,,,125300000,,,,125300000,125300000,,,,,,,,,,,,,85384019.0,,,,,4500000,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,
1984-12-31,,9000000.0,,,,89100000.0,,,,,,,,,,62400000.0,,,59800000.0,,53900000.0,-338100000,,,,-338100000,134400000,,,97600000.0,81200000.0,,,-27300000.0,58000000.0,197700000.0,,,3200000.0,,,,46200000.0,,4800000,,23300000.0,,3400000.0,3400000.0,19700000.0,,,,,16000000.0,,,,,4400000.0,,,,,,100100000.0,30200000.0,108600000.0,,,,,,,,
1985-03-31,85432019.0,,,,,,,,,,,,,0.06,,,,,,,,128800000,,,,128800000,128800000,,,,,,,,,,,,,85432019.0,,,,,5000000,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,
1985-06-30,85432019.0,,,,,,,,,,,,,0.09,,,,,,,,140900000,,,,140900000,140900000,,,,,,,,,,,,,85432019.0,,,,,6600000,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,
1985-09-30,85432019.0,,,,,,,,,,,,,0.02,,,,,,,,142700000,,,,142700000,142700000,,,,,,,,,,,,,85432019.0,,,,,5600000,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
1985-12-31,,9500000.0,,,,95400000.0,,,,,,,,,,78700000.0,,,39000000.0,,51200000.0,-370700000,,,,-370700000,151900000,,,103300000.0,76900000.0,,,-25700000.0,69000000.0,221100000.0,,,5500000.0,,,,47000000.0,,39600000,,20400000.0,,2500000.0,2500000.0,21100000.0,,,,,24700000.0,,,,,9700000.0,,,,,,117800000.0,41900000.0,125700000.0,,,,,,,,
1986-03-31,85472019.0,,,,,,,,,,,,,0.07,,,,,,,,150700000,,,,150700000,150700000,,,,,,,,,,,,,85472019.0,,,,,6100000,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,
1986-06-30,85520019.0,,,,,,,,,,,,,0.1,,,,,,,,164200000,,,,164200000,164200000,,,,,,,,,,,,,85520019.0,,,,,8100000,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,
1986-09-30,85520019.0,,,,,,,,,,,,,0.08,,,,,,,,158600000,,,,158600000,158600000,,,,,,,,,,,,,85520019.0,,,,,6800000,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,
1986-12-31,,6900000.0,,,,108900000.0,,,,,,,,,,67700000.0,,,51000000.0,,70700000.0,-424800000,,,,-424800000,161600000,,,113700000.0,104200000.0,,,-33500000.0,54200000.0,248100000.0,,,9000000.0,,,,71500000.0,,4600000,,20100000.0,,6800000.0,6800000.0,42400000.0,,,,,24900000.0,,,,,13500000.0,,,,,,134400000.0,38800000.0,139200000.0,,,,,,,,
1987-03-31,85524019.0,,,,,,,,,,,,,0.07,,,,,,,,158800000,,,,158800000,158800000,,,,,,,,,,,,,85524019.0,,,,,5700000,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,
1987-06-30,85524019.0,,,,,,,,,,,,,0.11,,,,,,,,167900000,,,,167900000,167900000,,,,,,,,,,,,,85524019.0,,,,,8800000,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,
1987-09-30,85544019.0,,,,,,,,,,,,,0.09,,,,,,,,167000000,,,,167000000,167000000,,,,,,,,,,,,,85544019.0,,,,,7200000,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,
1987-12-31,,6200000.0,,,,125300000.0,,,,,,,,,,65800000.0,,,66600000.0,,79900000.0,-435500000,,,,-435500000,176400000,,,125300000.0,123300000.0,,,-43400000.0,65700000.0,273700000.0,,,11100000.0,,,,82600000.0,,8900000,,30200000.0,,8500000.0,8500000.0,41300000.0,,,,,26400000.0,,,,,100000.0,,,,,,148400000.0,42100000.0,148400000.0,,,,,,,,
1988-03-31,86024019.0,,,,,,,,,,,,,0.08,,,,,,,,170000000,,,,170000000,170000000,,,,,,,,,,,,,86024019.0,,,,,6400000,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,
1988-06-30,87560019.0,,,,,,,,,,,,,0.11,,,,,,,,184100000,,,,184100000,184100000,,,,,,,,,,,,,87560019.0,,,,,9500000,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,
1988-09-30,90976020.0,,,,,,,,,,,,,0.1,,,,,,,,189300000,,,,189300000,189300000,,,,,,,,,,,,,90976020.0,,,,,9600000,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,
1988-12-31,,14600000.0,,,,224900000.0,,,,,,,,,,117600000.0,,,88000000.0,,116700000.0,-483200000,,,,-483200000,199800000,,,149100000.0,175200000.0,,,-58500000.0,73500000.0,420600000.0,,,7600000.0,,,,78100000.0,,8500000,,30200000.0,,6100000.0,6100000.0,40300000.0,,,,,80300000.0,,,,,44100000.0,,,,,,271500000.0,74500000.0,195700000.0,,,,,,,,
1989-03-31,97920022.0,,,,,,,,,,,,,0.09,,,,,,,,195500000,,,,195500000,195500000,,,,,,,,,,,,,97920022.0,,,,,8500000,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,
1989-06-30,97948022.0,,,,,,,,,,,,,0.13,,,,,,,,212100000,,,,212100000,212100000,,,,,,,,,,,,,97948022.0,,,,,12000000,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,
