date,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyBasicEPS,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue
1986-03-31,,,,,,,,,,180144000.0,,,,,,,,,,,,,,,,,752300000,,752300000,,,,,,,0.01875,,,752300000,,,,180144000.0,,,,,,,,,,,,,,,,,,,,0.01875,25700000,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,180144000.0,,,,,,,,,,,,,,,,,807400000,,807400000,,,,,,,0.05125,,,807400000,,,,180144000.0,,,,,,,,,,,,,,,,,,,,0.04875,49200000,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,180144000.0,,,,,,,,,,,,,,,,,664900000,,664900000,,,,,,,0.04875,,,664900000,,,,180144000.0,,,,,,,,,,,,,,,,,,,,0.0475,26800000,,,,,,,,,,,,,
1986-12-31,,,-506600000.0,,,,303200000.0,,-1145800000.0,,184200000.0,184200000.0,,73000000.0,,104800000.0,,,,,,,,,,,778100000,,-1975800000,,2490900000.0,,1065900000.0,,1345100000.0,,,,-1975800000,,-454900000.0,2053500000.0,,,,,1101200000.0,,1138900000.0,,2685800000.0,8600000.0,,1584600000.0,,,134700000.0,,,,3192400000.0,,,50800000,,428300000.0,257600000.0,,,1787300000.0,,,,,,,
1987-03-31,,,,,,,,,,180144000.0,,,,,,,,,,,,,,,,,724300000,,724300000,,,,,,,0.0675,,,724300000,,,,180144000.0,,,,,,,,,,,,,,,,,,,,0.0675,25300000,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,180144000.0,,,,,,,,,,,,,,,,,828500000,,828500000,,,,,,,0.35125,,,828500000,,,,180144000.0,,,,,,,,,,,,,,,,,,,,0.35,133600000,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,180696000.0,,,,,,,,,,,,,,,,,730000000,,730000000,,,,,,,0.1075,,,730000000,,,,180696000.0,,,,,,,,,,,,,,,,,,,,0.1075,26800000,,,,,,,,,,,,,
1987-12-31,,,-343200000.0,,,,210500000.0,,-1325900000.0,,184600000.0,184600000.0,,103900000.0,,80500000.0,,,,,,,,,,,856300000,,-2013900000,,2628100000.0,,1059600000.0,,1302200000.0,,,,-2013900000,,-338200000.0,1774800000.0,,,,,1069800000.0,,1163500000.0,,2595100000.0,281700000.0,,1525300000.0,,,142600000.0,,,,2938300000.0,,,5500000,,413700000.0,112900000.0,,,1380200000.0,,,,,,,
1988-03-31,,,,,,,,,,135624000.0,,,,,,,,,,,,,,,,,713900000,,713900000,,,,,,,0.085,,,713900000,,,,135624000.0,,,,,,,,,,,,,,,,,,,,0.085,24200000,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,135624000.0,,,,,,,,,,,,,,,,,892700000,,892700000,,,,,,,0.13125,,,892700000,,,,135624000.0,,,,,,,,,,,,,,,,,,,,0.13125,37800000,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,135624000.0,,,,,,,,,,,,,,,,,798200000,,798200000,,,,,,,0.10875,,,798200000,,,,135624000.0,,,,,,,,,,,,,,,,,,,,0.10875,31200000,,,,,,,,,,,,,
1988-12-31,,,-223600000.0,,,,178300000.0,,-1482100000.0,,130800000.0,130800000.0,,74300000.0,,74100000.0,,,,,,,,,,,882100000,,-2123700000,,2750200000.0,,1014400000.0,,1268100000.0,,,,-2123700000,,-209000000.0,1883700000.0,,,,,1316600000.0,,1088700000.0,,2748800000.0,290000000.0,,1432200000.0,,,90000000.0,,,,2972400000.0,,,36000000,,424700000.0,125700000.0,,,1468000000.0,,,,,,,
1989-03-31,,,,,,,,,,135624000.0,,,,,,,,,,,,,,,,,837100000,,837100000,,,,,,,0.105,,,837100000,,,,135624000.0,,,,,,,,,,,,,,,,,,,,0.105,30000000,,,,,,,,,,,,,
1989-06-30,,,,,,,,,,137020000.0,,,,,,,,,,,,,,,,,917100000,,917100000,,,,,,,0.1925,,,917100000,,,,137020000.0,,,,,,,,,,,,,,,,,,,,0.1925,55600000,,,,,,,,,,,,,
1989-09-30,,,-129700000.0,51800000.0,,,179600000.0,,-1535000000.0,137908000.0,136000000.0,136000000.0,,79500000.0,40000000.0,60400000.0,,544600000.0,,,,,,,,,837600000,,75400000,,2831600000.0,17000000.0,498100000.0,,1296600000.0,0.12,,,119800000,,-96900000.0,1699400000.0,137908000.0,,,,1262800000.0,107000000.0,1122200000.0,34800000.0,2716300000.0,251700000.0,,1453500000.0,,,96500000.0,,226800000.0,,2821600000.0,34800000.0,0.12,34800000,,407500000.0,99500000.0,18000000.0,,1348200000.0,151400000.0,,,,,,610800000.0
1989-12-31,0.0,,-70600000.0,33200000.0,0.0,,186200000.0,,-1573100000.0,,94500000.0,94500000.0,,101100000.0,38900000.0,60600000.0,,623800000.0,-33200000.0,-15400000.0,,2600000.0,,,300000.0,45100000.0,822700000,-79200000.0,43600000,,2908000000.0,900000.0,469500000.0,-41500000.0,1334900000.0,,-7500000.0,,108100000,,-72600000.0,1669000000.0,,,-34100000.0,,1312000000.0,268000000.0,1194400000.0,32300000.0,2819000000.0,255400000.0,-10000000.0,1507000000.0,64500000.0,,111500000.0,,376100000.0,-100000.0,2863400000.0,32300000.0,,32300000,-36200000.0,443900000.0,88000000.0,30100000.0,,1325600000.0,332500000.0,-87900000.0,0.0,,,,446600000.0
