date,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,3400000,,3400000,,,,,,,,,3400000,,7525000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,7525000.0,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,3600000,,3600000,,,,,,,,,3600000,,7525000.0,0.01,,,,,,,,,,,,,,,,,,0.01,,,7525000.0,,100000.0,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,3600000,,3600000,,,,,,,,,3600000,,7525000.0,0.02,,,,,,,,,,,,,,,,,,0.02,,,7525000.0,,100000.0,,,,,,,,,,,,,
1985-12-31,,,,,,9100000.0,,400000.0,,-8100000.0,2400000.0,2400000.0,,1200000.0,,,,,,,,,,,,30000000.0,-8900000,,3600000,,21900000.0,4300000.0,,,,,,-8900000,,,,5400000.0,14300000.0,,,6300000.0,,5500000.0,,22600000.0,28900000.0,-100000.0,,,,,700000.0,,,19800000.0,,,,100000.0,,,13400000.0,1000000.0,,500000.0,,,,,,,
1986-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,2900000,,2900000,,,,,,,,,2900000,,7525000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,7525000.0,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,3000000,,,,,,,,,3000000,,7525000.0,0.01,,,,,,,,,,,,,,,,,,0.01,,,7525000.0,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,3000000,,,,,,,,,3000000,,7525000.0,0.01,,,,,,,,,,,,,,,,,,0.01,,,7525000.0,,100000.0,,,,,,,,,,,,,
1986-12-31,,,,,,9500000.0,,500000.0,,-8900000.0,2600000.0,2600000.0,,1000000.0,,,,,,,,,,,,30400000.0,-7700000,,3000000,,21500000.0,4300000.0,,,,,,-7700000,,,,5600000.0,13800000.0,,,6300000.0,,5300000.0,,22300000.0,28600000.0,0.0,,,,,800000.0,,,19100000.0,,,,100000.0,,,12700000.0,1100000.0,,400000.0,,,,,,,
1987-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000,,3200000,,,,,,,,,3200000,,7525000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,7525000.0,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,1900000,,1900000,,,,,,,,,1900000,,7525000.0,-0.03,,,,,,,,,,,,,,,,,,-0.03,,,7525000.0,,-300000.0,,,,,,,,,,,,,
