date,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyInventory,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable
1984-03-31,,,,,,,,,0.34,,,31000000,,,,,,,,,,,,,,,,,91796000.0,,,,,,,,,0.34,,,,,,,,,,,,,,91796000.0,,,,,814900000,,,,,,,,814900000,814900000,,,,,,,,,,,
1984-06-30,,,,,,,,,0.42,,,38300000,,,,,,,,,,,,,,,,,91796000.0,,,,,,,,,0.42,,,,,,,,,,,,,,91796000.0,,,,,838900000,,,,,,,,838900000,838900000,,,,,,,,,,,
1984-09-30,,,,,,,,,0.45,,,41400000,,,,,,,,,,,,,,,,,92192000.0,,,,,,,,,0.45,,,,,,,,,,,,,,92192000.0,,,,,894000000,,,,,,,,894000000,894000000,,,,,,,,,,,
1984-12-31,0.0,,1102500000.0,1956500000.0,,85800000.0,,,,,,56200000,,418000000.0,39400000.0,46400000.0,,,,,,,43400000.0,3700000.0,3700000.0,,,,,,,1213100000.0,1231700000.0,42100000.0,,15000000.0,,,,,724800000.0,,,,,,,,,,1145900000.0,,,,,1171000000.0,-2304400000,596700000.0,,,,,,,-2304400000,1140000000,,,743400000.0,1681900000.0,,-510900000.0,,,,,
1985-03-31,,,,,,,,,0.49,,,45500000,,,,,,,,,,,,,,,,,92574000.0,,,,,,,,,0.49,,,,,,,,,,,,,,92574000.0,,,,,1093100000,,,,,,,,1093100000,1093100000,,,,,,,,,,,
1985-06-30,,,,,,,,,0.995,,,91900000,,,,,,,,,,,,,,,,,92580000.0,,,,,,,,,0.995,,,,,,,,,,,,,,92580000.0,,,,,1218800000,,,,,,,,1218800000,1218800000,,,,,,,,,,,
1985-09-30,,,,,,,,,0.515,,,47800000,,,,,,,,,,,,,,,,,92590000.0,,,,,,,,,0.515,,,,,,,,,,,,,,92590000.0,,,,,1213300000,,,,,,,,1213300000,1213300000,,,,,,,,,,,
1985-12-31,0.0,,1180100000.0,2332700000.0,,89600000.0,,,,,,29200000,,405900000.0,38300000.0,51300000.0,,,,,,,164000000.0,7100000.0,7100000.0,,,,,,,1402000000.0,1433700000.0,50700000.0,,24900000.0,,,,,899000000.0,,,,,,,,,,1344100000.0,,,,,1351300000.0,-3217400000,755500000.0,,,,,,,-3217400000,1531400000,,,930700000.0,2045700000.0,,-694400000.0,,,,,
1986-03-31,,,,,,,,,0.425,,,39300000,,,,,,,,,,,,,,,,,92598000.0,,,,,,,,,0.425,,,,,,,,,,,,,,92598000.0,,,,,1300000000,,,,,,,,1300000000,1300000000,,,,,,,,,,,
1986-06-30,,,,,,,,,0.245,,,23100000,,,,,,,,,,,,,,,,,92944000.0,,,,,,,,,0.245,,,,,,,,,,,,,,92944000.0,,,,,1400000000,,,,,,,,1400000000,1400000000,,,,,,,,,,,
1986-09-30,,,,,,,,,-0.37,,,-30500000,,,,,,,,,,,,,,,,,93138000.0,,,,,,,,,-0.37,,,,,,,,,,,,,,93138000.0,,,,,1260000000,,,,,,,,1260000000,1260000000,,,,,,,,,,,
