date,quarterlyDilutedEPS,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyDilutedAverageShares,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlySellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-03-31,0.57,,,,,,,,,,,,,,132359000.0,,,,620000000,,,,,,620000000,,,,,,,620000000,,,,,,,,,,,132359000.0,,,,,,,101000000,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,0.36,,,,,,,,,,,,,,132359000.0,,,,549700000,,,,,,549700000,,,,,,,549700000,,,,,,,,,,,132359000.0,,,,,,,74300000,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,0.71,,,,,,,,,,,,,,136778000.0,,,,682800000,,,,,,682800000,,,,,,,682800000,,,,,,,,,,,136778000.0,,,,,,,123100000,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,645800000,,,,,,645800000,,,,,,,645800000,,,,,,,,,,,,,,,,,,103500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,0.59,,,,,,,,,,,,,,139082000.0,,,,713000000,,,,,,713000000,,,,,,,713000000,,,,,,,,,,,139082000.0,,,,,,,108400000,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,0.48,,,,,,,,,,,,,,142428000.0,,,,651300000,,,,,,651300000,,,,,,,651300000,,,,,,,,,,,142428000.0,,,,,,,94600000,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,0.66,,,,,,,,,,,,,,144171000.0,,,,722300000,,,,,,722300000,,,,,,,722300000,,,,,,,,,,,144171000.0,,,,,,,121000000,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,,,,,,,,,,,,,,,,,701600000,,,,,,701600000,,,,,,,701600000,,,,,,,,,,,,,,,,,,113500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-31,0.71,,,,,,,,,,,,,,146596000.0,,,,748900000,,,,,,748900000,,,,,,,748900000,,,,,,,,,,,146596000.0,,,,,,,130100000,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,0.57,,,,,,,,,,,,,,146632000.0,,,,691400000,,,,,,691400000,,,,,,,691400000,,,,,,,,,,,146632000.0,,,,,,,108600000,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,0.7,,,,,,,,,,,,,,146653000.0,,,,738100000,,,,,,738100000,,,,,,,738100000,,,,,,,,,,,146653000.0,,,,,,,127100000,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,,,,,,,,,,,,,,,,,690900000,,,,,,690900000,,,,,,,690900000,,,,,,,,,,,,,,,,,,111300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-03-31,0.9,,,,,,,,,,,,,,146720000.0,,,,708500000,,,,,,708500000,,,,,,,708500000,,,,,,,,,,,146720000.0,,,,,,,152600000,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,0.7,,,,,,,,,,,,,,146724000.0,,,,688200000,,,,,,688200000,,,,,,,688200000,,,,,,,,,,,146724000.0,,,,,,,122600000,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,1.05,,,,,,,,,,,,,,146737000.0,,,,787200000,,,,,,787200000,,,,,,,787200000,,,,,,,,,,,146737000.0,,,,,,,173000000,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,,,,,,,,,,,,,,,,,672800000,,,,,,672800000,,,,,,,672800000,,,,,,,,,,,,,,,,,,106800000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-03-31,-0.04,,,,,,,,,,,,,,146753000.0,,,,751700000,,,,,,751700000,,,,,,,751700000,,,,,,,,,,,146753000.0,,,,,,,7700000,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,0.41,,,,,,,,,,,,,,146754000.0,,,,721900000,,,,,,721900000,,,,,,,721900000,,,,,,,,,,,146754000.0,,,,,,,73400000,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,0.91,,,,,,,,,,,,,,146774000.0,,,,867900000,,,,,,867900000,,,,,,,867900000,,,,,,,,,,,146774000.0,,,,,,,145900000,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,,760700000,,,,,,760700000,,,,,,,760700000,,,,,,,,,,,,,,,,,,-462400000,,,,,,,,,,,,,,,,,,,,,,,,,,,
