date,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyOtherCurrentAssets,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyEbitda
2000-03-31,-5000000,198000000,,,3815000000.0,665000000,2237000000.0,3585000000.0,,,-1005000000,-1566000000,,1616000000,,475000000,-459000000.0,256048000000.0,-552000000,17726000000,,,986000000.0,-320000000.0,2789000000,,236000000,,-19885000000,-602000000,2237000000,,,,14336000000.0,1578000000.0,1616000000,241914000000.0,7666000000,475000000.0,579000000.0,2793000000.0,9032000000.0,112281000000.0,,236000000,277000000,14016000000.0,2016000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,-8000000,178000000,,,4578000000.0,695000000,3187000000.0,1775000000.0,,,-443000000,1583000000,,284000000,,192000000,40000000.0,254825000000.0,950000000,7431000000,,,283000000.0,-494000000.0,2237000000,8000000.0,-115000000,,-7107000000,-917000000,3187000000,,,,341000000.0,1391000000.0,284000000,239174000000.0,6570000000,192000000.0,552000000.0,2833000000.0,8317000000.0,87142000000.0,,-115000000,14000000,14567000000.0,-1388000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,-28000000,71000000,,,3585000000.0,671000000,1600000000.0,1768000000.0,,,-165000000,-297000000,0.0,-275000000,,312000000,3000000.0,257489000000.0,-1587000000,7499000000,-193000000.0,,313000000.0,98000000.0,3187000000,8000000.0,241000000,-516000000.0,-9236000000,-1015000000,1600000000,,,,582000000.0,1985000000.0,-275000000,241197000000.0,6253000000,312000000.0,354000000.0,2892000000.0,6445000000.0,89970000000.0,,241000000,241000000,15207000000.0,705000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,-83000000,16000000,752000000.0,,4703000000.0,401000000,3434000000.0,1094000000.0,,,631000000,-484000000,0.0,-299000000,,437000000,0.0,255018000000.0,1834000000,36356000000,-206000000.0,,13383000000.0,1047000000.0,1600000000,8000000.0,591000000,-1698000000.0,-32529000000,2617000000,3434000000,,,,1021000000.0,1269000000.0,-715000000,237539000000.0,11458000000,437000000.0,112000000.0,2426000000.0,8343000000.0,116441000000.0,,591000000,421000000,16389000000.0,-1542000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,-13000000,140000000,1305000000.0,,5123000000.0,411000000,4205000000.0,1596000000.0,,,602000000,893000000,,1542000000,-16000000.0,427000000,-16000000.0,254117000000.0,771000000,15054000000,-238000000.0,,14340000000.0,1631000000.0,3434000000,8000000.0,287000000,1255000000.0,-15983000000,-1664000000,4205000000,,,,1308000000.0,918000000.0,1526000000,236003000000.0,7971000000,427000000.0,259000000.0,2453000000.0,8797000000.0,119771000000.0,,287000000,287000000,17022000000.0,-703000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,-153000000,173000000,1167000000.0,,5575000000.0,373000000,4748000000.0,2121000000.0,,,-375000000,244000000,,913000000,0.0,493000000,0.0,254777000000.0,543000000,12681000000,-273000000.0,,13825000000.0,1325000000.0,4205000000,8000000.0,320000000,593000000.0,-13845000000,-614000000,4748000000,,,,1628000000.0,827000000.0,913000000,236920000000.0,7811000000,493000000.0,310000000.0,2309000000.0,8139000000.0,118455000000.0,,320000000,320000000,16763000000.0,550000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,-13000000,77000000,1688000000.0,,5457000000.0,346000000,4445000000.0,701000000.0,,,864000000,-513000000,506000000.0,860000000,-278000000.0,239000000,0.0,251895000000.0,-303000000,16194000000,-506000000.0,,14342000000.0,1834000000.0,4748000000,8000000.0,162000000,698000000.0,-17538000000,-650000000,4445000000,,,,1790000000.0,1012000000.0,582000000,233871000000.0,7970000000,239000000.0,256000000.0,2352000000.0,8063000000.0,121193000000.0,,162000000,162000000,16928000000.0,891000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,-193000000,-124000000,1526000000.0,,8676000000.0,377000000,7473000000.0,355000000.0,,,2780000000,2279000000,-1017000000.0,1484000000,,-420000000,-260000000.0,256898000000.0,3028000000,13742000000,-304000000.0,,13707000000.0,1673000000.0,4445000000,8000000.0,-296000000,-5278000000.0,-13160000000,-735000000,7473000000,,,,1349000000.0,1203000000.0,1778000000,239580000000.0,8176000000,-420000000.0,306000000.0,3628000000.0,6437000000.0,119664000000.0,,-296000000,-296000000,16062000000.0,-1351000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,-194000000,196000000,1167000000.0,,6434000000.0,275000000,4024000000.0,546000000.0,,,1063000000,820000000,,578000000,,520000000,0.0,258710000000.0,-3449000000,17068000000,-240000000.0,,14702000000.0,842000000.0,7473000000,8000000.0,329000000,249000000.0,-22542000000,-4847000000,4024000000,,,,1678000000.0,2410000000.0,578000000,242132000000.0,8002000000,520000000.0,150000000.0,3434000000.0,8111000000.0,122381000000.0,,329000000,324000000,15320000000.0,627000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,-1000000,170000000,1385000000.0,,5796000000.0,196000000,3563000000.0,52000000.0,,,1665000000,982000000,,1017000000,,557000000,-879000000.0,261231000000.0,-461000000,14944000000,-191000000.0,,14590000000.0,1469000000.0,4024000000,8000000.0,387000000,635000000.0,-16397000000,-2460000000,3563000000,,,,2065000000.0,2233000000.0,1017000000,243827000000.0,8272000000,557000000.0,300000000.0,3436000000.0,8170000000.0,127961000000.0,,387000000,387000000,16144000000.0,-128000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,-15000000,124000000,1636000000.0,,6305000000.0,51000000,3647000000.0,878000000.0,,,1207000000,1985000000,,945000000,,438000000,0.0,267934000000.0,84000000,18466000000,-40000000.0,,17407000000.0,2114000000.0,3563000000,8000000.0,328000000,666000000.0,-24022000000,-2846000000,3647000000,,,,2393000000.0,2658000000.0,66000000,249594000000.0,8124000000,438000000.0,403000000.0,3428000000.0,8165000000.0,137776000000.0,,328000000,314000000,17077000000.0,3589000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
