date,trailingGrossProfit,trailingOtherIncomeExpense,annualOperatingCashFlow,annualTotalNonCurrentAssets,annualNetPPE,quarterlyOperatingExpense,annualGrossProfit,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyRepaymentOfDebt,annualInventory,quarterlyNetPPE,annualDilutedEPS,annualEbitda,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualGrossPPE,trailingChangeInCashSupplementalAsReported,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualBasicAverageShares,quarterlyChangesInAccountReceivables,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualBeginningCashPosition,trailingOtherNonCashItems,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,trailingInvestingCashFlow,trailingOperatingExpense,annualInvestingCashFlow,annualDeferredIncomeTax,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyRepurchaseOfCapitalStock,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualChangesInAccountReceivables,quarterlyDeferredIncomeTax,annualAccumulatedDepreciation,trailingBeginningCashPosition,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,trailingCapitalExpenditure,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,annualOtherCurrentLiabilities,trailingChangeInInventory,trailingNetOtherFinancingCharges,annualDilutedAverageShares,quarterlyEbitda,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualStockBasedCompensation,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,trailingInterestExpense,trailingStockBasedCompensation,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualInterestExpense,quarterlyBasicEPS,annualPurchaseOfInvestment,annualCapitalStock,annualRepaymentOfDebt,annualTotalRevenue,quarterlyBasicAverageShares,annualAccountsPayable,annualOperatingIncome,trailingOperatingIncome,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCommonStockIssuance,annualFreeCashFlow,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,trailingFreeCashFlow,quarterlyCashDividendsPaid,annualTotalLiabilitiesNetMinorityInterest,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,trailingTotalRevenue,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualOtherCurrentAssets,quarterlyTotalRevenue,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,trailingTaxProvision,trailingNetIncome,trailingEndCashPosition,quarterlyOperatingIncome,annualCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualInvestmentsAndAdvances,annualNetIncome,annualPretaxIncome,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,trailingSaleOfInvestment,annualSaleOfInvestment,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,annualStockholdersEquity,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualCurrentAssets,annualOtherNonCashItems,annualLongTermDebt,annualOtherNonCurrentAssets,annualBasicEPS,quarterlyCostOfRevenue,quarterlyGoodwill,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualRetainedEarnings,quarterlyStockholdersEquity,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualTotalAssets,annualTaxProvision,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,annualAccountsReceivable,trailingOperatingCashFlow,trailingChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyGrossProfit,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,trailingBasicAverageShares,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,annualIncomeTaxPayable,trailingCashDividendsPaid,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingDilutedAverageShares
1988-03-31,3204200000.0,-100500000.0,,,,,,,,,,,,-1159600000.0,,,,,,,,,,,,-531500000.0,559100000.0,,,-606200000.0,,,,,,,,,,,,130300000.0,,,-1277900000.0,1842700000.0,,,33400000.0,,,,,,,,,,892600000.0,,-920900000.0,,,,,-394200000.0,755800000.0,,,-24600000.0,-48300000.0,,78300000,,,,,,,234500000.0,104300000.0,-279400000.0,-85600000.0,,0.325,,,,,39600000.0,,,1361500000.0,,,,,,,,,,,967100000.0,,,,,8184700000.0,11388900000.0,,,,660300000.0,,78300000,,,,,270700000.0,754600000.0,369800000.0,78300000,,,1026500000.0,,,,,,,,,,1607500000.0,,,,12800000,,0.325,27700000.0,,,,39600000.0,,,,,,,,,,,,754600000.0,,,,,,,,,,,,,,,-800000000.0,,,,1361300000.0,95000000.0,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78300000,,,,,,,,,,,,0.325,,,,,39600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,78300000,,,,,,,,78300000,,,,,,,,,,,,,,,,,12900000,,0.325,,,,,39600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78300000,,,,,,,,,,,,0.3,,,,,39600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,78300000,,,,,,,,78300000,,,,,,,,,,,,,,,,,12000000,,0.3,,,,,39600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,1.25,313900000.0,,,,,,,,,,,,,39600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39600000.0,79000000,,,,,,,,,,,,,,,,313900000.0,,,313900000.0,,,,,,,,,,,,,,,,,,,,,,,,79000000,,,,,,,,79000000,,,,,,,,,,,49100000.0,,,,,,11400000,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-03-31,,,,,,17700000.0,,26600000.0,,205500000.0,,,,,,,37800000.0,,,10800000.0,9400000.0,9400000.0,12600000.0,,,,,-7700000.0,,,,,,,0.0,-4800000.0,,-4800000.0,,,,,,10400000.0,,,,,,,,,,-8200000.0,7800000.0,,,,,,,,-3200000.0,,,,,39800000.0,,,,,29300000,,,,,,,,,,,,0.4,,,,,39500000.0,,,,,,,,,90000000.0,14900000.0,,47600000.0,2800000.0,,,,,4600000.0,,,,48700000.0,,,,93900000,,,,243300000.0,,,,26500000,,52200000.0,,,,,333300000.0,15800000.0,,,,,,,,2700000.0,15800000,15800000.0,0.4,,,12300000.0,,39500000.0,,,,,,,,,49700000.0,,,,,,,281100000.0,0.0,-8800000.0,,,,-1100000.0,,,,,,,100000.0,,,,,,44200000.0,,,,,,,,,,,,,,
1989-06-30,,,,,,18400000.0,,28200000.0,,207100000.0,,,,,,,41600000.0,,,11100000.0,9100000.0,9100000.0,0.0,,,,,-5200000.0,,,200000.0,,,,0.0,-9800000.0,,-9800000.0,,,,,,14800000.0,,,,,,,,,,-5200000.0,6900000.0,,,,,,,,-300000.0,,,,,28800000.0,,,,,31300000,,,,,,,,,,,,0.425,,,,,40235294.0,,,,,,,,,91400000.0,15500000.0,,35700000.0,2900000.0,,,,,6200000.0,,,,65800000.0,,,,99900000,,,,248700000.0,,,,28400000,,41900000.0,,,,,340100000.0,17100000.0,,,,,,,,9600000.0,17100000,17100000.0,0.425,,,12400000.0,,40235294.0,,,,,,,,,53100000.0,,,,,,,298200000.0,0.0,-5300000.0,,,,-100000.0,,,,,,,0.0,,,,,,46800000.0,,,,,,,,,,,,,,
1989-09-30,,,,,,20400000.0,,24800000.0,,208200000.0,,,,,,,46300000.0,,,9900000.0,11200000.0,11200000.0,0.0,,,,,-7200000.0,,,,,,,0.0,-13100000.0,,-13100000.0,,,,,,22400000.0,,,,,,,,,,3600000.0,8200000.0,,,,,,,,2100000.0,,,,,17400000.0,,,,,28700000,,,,,,,,,,,,0.375,,,,,39733333.0,,,,,,,,,91100000.0,16500000.0,,25600000.0,3900000.0,,,,,6900000.0,,,,80700000.0,,,,100900000,,,,254500000.0,,,,24800000,,32500000.0,,,,,345600000.0,14900000.0,,,,,,,,15200000.0,14900000,14900000.0,0.375,,,10500000.0,,39733333.0,,,,,,,,,55700000.0,,,,,,,313100000.0,0.0,-7200000.0,,,,0.0,,,,,,,0.0,,,,,,45200000.0,,,,,,,,,,,,,,
1989-12-31,,,71800000.0,254700000.0,47700000.0,21800000.0,191100000.0,28200000.0,,,,32000000.0,,,,,47700000.0,1.625,126100000.0,11300000.0,32000000.0,32000000.0,0.0,-5000000.0,66700000.0,,,-3600000.0,,,,39815385.0,,,207000000.0,100000.0,-19000000.0,100000.0,,,12600000.0,,,24200000.0,,,-24800000.0,,,-23700000.0,,,66700000.0,3600000.0,11200000.0,,,-19000000.0,,,,,20800000.0,,,,,20600000.0,20600000.0,,,39815385.0,36800000,19400000.0,,,,-27600000.0,-27600000.0,,,,,,,,,,402400000.0,,11200000.0,112800000.0,,,6400000.0,,,48100000.0,113500000.0,18100000.0,,31800000.0,3700000.0,,,38200000.0,0.0,6400000.0,,,-6200000.0,97600000.0,,,13700000.0,107700000,-1100000.0,,32000000.0,254700000.0,,,,33100000,,38200000.0,,,64700000.0,107800000.0,368200000.0,16900000.0,,78300000.0,64700000.0,,,,211300000.0,20600000.0,16900000,16900000.0,,,,13700000.0,,,330000000.0,,65000000.0,113500000.0,,,207000000.0,1.625,52800000.0,,64700000.0,,,31800000.0,97600000.0,330000000.0,0.0,-3500000.0,368200000.0,43100000.0,13300000.0,100000.0,,,,,,,-4900000.0,,,,,,54900000.0,,,,,,,,,,,,,,
1990-03-31,,,,,,24500000.0,,33700000.0,,205200000.0,,,,,,,48600000.0,,,13800000.0,2600000.0,2600000.0,32000000.0,,,,,-4000000.0,,,,,,,0.0,-43000000.0,-19000000.0,-43000000.0,,,,,,17600000.0,,,,,,,,,67600000.0,-7100000.0,11700000.0,,,,,,,,-29400000.0,,,,,21600000.0,,,,,37600000,,,,,,,,,,,,0.5,,,,,39800000.0,,,,,,,,,135700000.0,19700000.0,,33300000.0,4800000.0,,,,,6300000.0,,,,117500000.0,,,,122100000,,,,253800000.0,,,,32800000,,39600000.0,,,,,389500000.0,19900000.0,,,,,,,,13600000.0,19900000,19900000.0,0.5,,,57700000.0,,39800000.0,,,,,,,,,64800000.0,,,,,,,349900000.0,0.0,-4000000.0,,,,0.0,,,,,,,900000.0,,,,,,57300000.0,,,,,,,,,,,,,,
1990-06-30,,,,,,25500000.0,,36300000.0,,203100000.0,,,,,,,49000000.0,,,14800000.0,40500000.0,40500000.0,0.0,,,,,-3400000.0,,,,,,,0.0,8400000.0,-19000000.0,8900000.0,,,,,,32400000.0,,,,,,,,,68000000.0,6000000.0,13800000.0,,,,,,,,37900000.0,,,,,23500000.0,,,,,39600000,,,,,,,,,,,,0.55,,,,,39090909.0,,,,,,,,,163200000.0,20600000.0,,37300000.0,4900000.0,,,,,6100000.0,,,,139000000.0,,,,127400000,,,,252100000.0,,,,34700000,,43400000.0,,,,,415300000.0,21500000.0,,,,,,,,29000000.0,21500000,21500000.0,0.55,,,50900000.0,,39090909.0,,,,,,,,,67200000.0,,,,,,,371900000.0,0.0,-3400000.0,,,,0.0,,,,,,,1600000.0,,,,,,60200000.0,,,,,,,,,,,,,,
