date,quarterlySaleOfInvestment,trailingOperatingExpense,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,trailingDeferredIncomeTax,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,quarterlyBasicAverageShares,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,annualOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingCapitalExpenditure,trailingNetIncomeContinuousOperations,annualCurrentAssets,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyEbitda,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,annualTaxProvision,quarterlyChangeInInventory,annualInterestExpense,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,trailingResearchAndDevelopment,trailingChangeInAccountPayable,annualRepaymentOfDebt,quarterlyGrossProfit,annualTotalRevenue,annualTotalNonCurrentAssets,annualResearchAndDevelopment,quarterlyPretaxIncome,annualGrossProfit,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,trailingCostOfRevenue,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,annualOtherCurrentAssets,quarterlyCapitalExpenditure,trailingNetIncome,trailingTaxProvision,trailingDepreciationAndAmortization,quarterlyTotalRevenue,annualChangeInInventory,quarterlyOperatingIncome,annualCurrentDebt,annualNetIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,annualBeginningCashPosition,annualCurrentDeferredRevenue,annualCostOfRevenue,trailingSellingGeneralAndAdministration,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,trailingInvestingCashFlow,trailingSaleOfInvestment,annualDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualStockholdersEquity,annualNonCurrentDeferredRevenue,annualBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualLongTermDebt,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingChangeInInventory,quarterlyGoodwill,annualRetainedEarnings,quarterlyDilutedAverageShares,annualCurrentLiabilities,annualStockBasedCompensation,annualBasicEPS,annualGoodwill,annualTotalAssets,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,quarterlyAccountsReceivable,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,annualPurchaseOfInvestment,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,annualCapitalStock,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,annualOperatingIncome,trailingGrossProfit,quarterlyCashDividendsPaid,annualNetPPE,quarterlyOperatingExpense,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,annualAccountsPayable,trailingOperatingIncome,annualChangeInAccountPayable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,trailingRepaymentOfDebt,annualEndCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,annualEbitda,quarterlyCashAndCashEquivalents,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,annualGrossPPE,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyBasicEPS,trailingPretaxIncome,trailingEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyTotalLiabilitiesNetMinorityInterest,annualDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,annualPretaxIncome,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,trailingOtherNonCashItems,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingBasicAverageShares,trailingPurchaseOfBusiness,annualIncomeTaxPayable,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,annualCashDividendsPaid,trailingDilutedAverageShares,trailingCommonStockIssuance,trailingInterestExpense,trailingBasicEPS
1986-03-31,,4003455000.0,,,40809000.0,,,,220480000.0,,,,,,,,,498614000.0,,,-843729000.0,506443000.0,,-18958000.0,,,4300000,506443000.0,,,,,,,,,,,,-1298459000.0,,730405000.0,40094000.0,,,,,,,,,,,,,,438684000.0,,,,1030610000.0,,0.000156,,,,,,,,506443000.0,128157000.0,678402000.0,4300000,,4300000,,,,,,,,,,,3186749000.0,,300000,,,-703230000.0,604615000.0,,,,,,,,,,,,-464116000.0,,,,,1576000.0,,,220480000.0,,,,,,,94496000.0,,,-13506000.0,,,1282413000.0,,,,,,,,,4585420000.0,,,,,,26411000.0,,581965000.0,,,,,,,,0.0,,,,5616030000.0,,,,,-2184000.0,,,,,,,-576888000.0,,0.000156,634600000.0,500909000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,220480000.0,,,,,,,,,,,,,,,,,,4300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000156,,,,,,,,,,,4300000,,4300000,,,,,,,,,,,,,400000,,,,,,,,,,,,,,,,,,,,,,,,220480000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,220480000.0,,,,,,,,,,,,,,,,,,4300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000156,,,,,,,,,,,4300000,,4300000,,,,,,,,,,,,,400000,,,,,,,,,,,,,,,,,,,,,,,,220480000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,,,,,6600000.0,-700000.0,,2500000.0,,,,,,,200000.0,,1300000.0,,,,22700000.0,,4600000.0,1500000.0,-10500000,,,,,16300000.0,,,,,1000000.0,,200000.0,,,,,,,17300000.0,3100000.0,,,9500000.0,0.0,,22700000.0,,7200000.0,9500000.0,,,2300000.0,1500000.0,,1800000.0,,,,,,500000.0,200000.0,,,,,4400000,,-10500000,2600000.0,1500000.0,,-700000.0,,1500000.0,7100000.0,0.0,,7800000.0,,,400000,0.0,,,,0.000547,,,16300000.0,,220480000.0,,1400000.0,,,900000.0,,,4600000.0,,,,,500000.0,,7200000.0,,0.000547,,25800000.0,,,,,,,,,,,,,1500000.0,,900000.0,2400000.0,,,1800000.0,,0.0,2300000.0,,,,,13400000.0,,,,,,,0.0,,13400000.0,,2900000.0,13400000.0,100000.0,,,,2500000.0,,13400000.0,3100000.0,2600000.0,,,,,,,9500000.0,220480000.0,1300000.0,,2500000.0,,,25800000.0,1400000.0,,,,,,,,,,,,,,,,
1987-03-31,,,,,,,,,214912000.0,,,,,,,,,,,,,,,,,,5400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000234,,,,,,,,,,,5400000,,5400000,,,,,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,,214912000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,214912000.0,,,,,,,,,,,,,,,,,,7100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000234,,,,,,,,,,,7100000,,7100000,,,,,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,,214912000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,238912000.0,,,,,,,,,,,,,,,,,,8300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000313,,,,,,,,,,,8300000,,8300000,,,,,,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,,,,,238912000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,,,,,5700000.0,-1200000.0,,3900000.0,,,,,,,700000.0,,2600000.0,,,,34600000.0,,10200000.0,4000000.0,-14800000,,,,,20600000.0,,,,,2800000.0,,400000.0,,,,,,,33000000.0,5300000.0,,,12600000.0,0.0,,34600000.0,,16600000.0,19300000.0,,,2700000.0,4100000.0,,2700000.0,,,,,,4500000.0,700000.0,,,,,12200000,,-14800000,6400000.0,4000000.0,,-1200000.0,,4000000.0,6600000.0,0.0,,20400000.0,,,1600000,0.0,,,,0.001094,800000.0,,20600000.0,,227904000.0,,1000000.0,,,900000.0,,,10200000.0,,,,,4500000.0,,16600000.0,,0.001094,,39900000.0,,,,,,,,,,,800000.0,,4100000.0,,900000.0,6000000.0,,,2700000.0,,0.0,2700000.0,,,,,12200000.0,,,,,,,0.0,,12200000.0,,6900000.0,12200000.0,1300000.0,,,,3900000.0,,12200000.0,5300000.0,6400000.0,,,,,,,19300000.0,227904000.0,2600000.0,,6800000.0,,,39900000.0,1000000.0,,,,,,,,,,,,,,,,
1988-03-31,,,,,,,,,229120000.0,,,,,,,,,,,,,,,,,,11400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000313,,,,,,,,,,,11400000,,11400000,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,229120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,230016000.0,,,,,,,,,,,,,,,,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000313,,,,,,,,,,,10000000,,10000000,,,,,,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,,,,,230016000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
