,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualFreeCashFlow,quarterlyCurrentAssets,annualAccountsPayable,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,annualTotalLiabilitiesNetMinorityInterest,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,annualChangeInAccountPayable,annualDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualEndCashPosition,annualChangeInWorkingCapital,annualDilutedAverageShares,annualOtherCurrentAssets,trailingTotalRevenue,annualOperatingIncome,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,trailingNetIncome,annualCashAndCashEquivalents,trailingEndCashPosition,quarterlyTotalRevenue,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,trailingPretaxIncome,trailingTaxProvision,quarterlyDilutedEPS,annualCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualInvestmentsAndAdvances,annualPretaxIncome,annualNetIncomeContinuousOperations,quarterlyTotalAssets,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,annualBasicAverageShares,annualNetIncome,quarterlyNetIncome,annualOtherNonCurrentAssets,annualSaleOfInvestment,annualSellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetIncomeContinuousOperations,annualStockholdersEquity,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualRepurchaseOfCapitalStock,annualCurrentAssets,quarterlyOtherCurrentAssets,annualLongTermDebt,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,annualRetainedEarnings,quarterlyAccountsReceivable,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,annualTotalAssets,trailingNetIncomeCommonStockholders,annualTaxProvision,annualDepreciationAndAmortization,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyBasicAverageShares,quarterlyBasicEPS,trailingChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyInventory,quarterlyGrossProfit,annualTotalNonCurrentAssets,quarterlyOperatingExpense,annualGrossProfit,quarterlyPretaxIncome,annualOtherIncomeExpense,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,trailingGrossProfit,annualOperatingCashFlow,annualNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,trailingRepaymentOfDebt,quarterlyTaxProvision,quarterlyChangesInAccountReceivables,annualChangeInInventory,annualGrossPPE,trailingChangeInCashSupplementalAsReported,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,annualBeginningCashPosition,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,trailingOperatingExpense,annualCapitalExpenditure,quarterlyIncomeTaxPayable,annualOperatingExpense,trailingInvestingCashFlow,annualAccumulatedDepreciation,trailingDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,annualInvestingCashFlow,annualDeferredIncomeTax,annualChangesInAccountReceivables,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,annualBasicEPS,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,trailingInterestExpense,annualNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyDilutedAverageShares,trailingCapitalExpenditure,annualNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,trailingStockBasedCompensation,annualStockBasedCompensation,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualInterestExpense,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualTotalRevenue,annualCapitalStock,trailingChangeInWorkingCapital,trailingBasicAverageShares,quarterlyGoodwill,trailingCommonStockIssuance,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,trailingOtherNonCashItems,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,quarterlyChangeInInventory,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,annualIncomeTaxPayable,annualGoodwill,trailingChangeInInventory,annualOtherShortTermInvestments,trailingResearchAndDevelopment,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,,,,,,,,,,,,,0.026501,,,,,15315316.0,,,29400000.0,,,,,,,,,,,,,,,,,5300000.0,,,,,,15315316.0,5300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29400000.0,,,,,,,,,,,,,,,,,,,,,,,
347068800,,,,,,,,,,,,,,,0.025114,,,,,15735736.0,,,32700000.0,,,,,,,,,,,,,,,,,5100000.0,,,,,,15735736.0,5100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32700000.0,,,,,,,,,,,,,,,,,,,,,,,
378604800,,,,,,,,,,,,,,,0.033161,,,,,15735736.0,,,38500000.0,,,,,,,,,,,,,,,,,6700000.0,,,,,,15735736.0,6700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38500000.0,,,,,,,,,,,,,,,,,,,,,,,
410140800,,,,,,,,,,,,,,,0.02775,,,,,16060060.0,,,42200000.0,,,,,,,,,,,,,,,,,5600000.0,,,,,,16060060.0,5600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42200000.0,,,,,,,,,,,,,,,,,,,,,,,
441676800,,,,,,,,,,,,,,,0.029831,,,,,16192192.0,,,47100000.0,,,,,,,,,,,,,,,,,6000000.0,,,,,,16192192.0,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47100000.0,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10100000.0,,,,,0.005273,,,,,,,,,,,,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,16216216.0,0.005273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10100000.0,,,,,,,16216216.0,,,,,,10100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16600000.0,,,,,0.014985,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,16216216.0,0.014985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16600000.0,,,,,,,16216216.0,,,,,,16600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500000.0,,,,,0.01776,,,,,,,,,,,,,,,,,,,3600000.0,,,,,,,,,,,,,,,,,,,,,,,,,16324324.0,0.01776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500000.0,,,,,,,16324324.0,,,,,,19500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,,,,,,,,,,,,,0.0444,,,,,16528528.0,,,57900000.0,,,,,,11800000.0,,,,,,,,,,,9000000.0,,,,,,16528528.0,9000000.0,,,,,,1400000.0,,,,,,,,,,,,,,,,,,,,,,8700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0444,,,11800000.0,,,,,,,,,,,,,11800000.0,,,,,,,,,,,,,57900000.0,,,,,,,,,,,,,,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10900000.0,,,,,0.005411,,,,,,,,,,,,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,16528528.0,0.005411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10900000.0,,,,,,,16528528.0,,,,,,10900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
