date,trailingNetIncome,annualGoodwill,annualTotalAssets,trailingPretaxIncome,quarterlyAccountsReceivable,annualNetOtherInvestingChanges,quarterlyGoodwill,annualRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,trailingChangeInWorkingCapital,quarterlyCostOfRevenue,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualFreeCashFlow,trailingSaleOfInvestment,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,annualAccountsPayable,trailingInvestingCashFlow,annualOtherNonCashItems,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualLongTermDebt,trailingPurchaseOfInvestment,annualDepreciationAndAmortization,annualOtherCurrentAssets,annualOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualStockholdersEquity,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyInventory,annualTaxProvision,trailingEndCashPosition,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,quarterlyCurrentDebt,annualCurrentAccruedExpenses,annualCurrentLiabilities,trailingOperatingCashFlow,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,annualInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualOtherNonCurrentAssets,annualCommonStockIssuance,annualSaleOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualEbitda,trailingNetOtherInvestingChanges,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,trailingInterestExpense,annualOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,annualBasicAverageShares,annualGrossPPE,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualRepaymentOfDebt,quarterlyChangeInInventory,trailingChangesInAccountReceivables,annualInterestExpense,quarterlyOtherIntangibleAssets,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,trailingGrossProfit,quarterlySaleOfInvestment,quarterlyCapitalStock,annualTotalNonCurrentAssets,trailingDeferredIncomeTax,annualCapitalExpenditure,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,annualBasicEPS,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,annualDilutedAverageShares,trailingTaxProvision,quarterlyNetPPE,annualStockBasedCompensation,quarterlyTaxProvision,annualNetOtherFinancingCharges,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,trailingChangeInInventory,trailingNetOtherFinancingCharges,quarterlyEbitda,annualInventory,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,annualCapitalStock,annualCostOfRevenue,annualTotalRevenue,annualCurrentDebt,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,annualAccumulatedDepreciation,quarterlyCurrentAssets,annualOperatingExpense,quarterlyRetainedEarnings,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,trailingFreeCashFlow,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,annualGrossProfit,annualChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,trailingOperatingExpense,annualDilutedEPS,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,trailingCostOfRevenue,quarterlyPretaxIncome,trailingBeginningCashPosition,trailingPurchaseOfBusiness,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingRepaymentOfDebt,trailingCashDividendsPaid,trailingOtherNonCashItems,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualNonCurrentDeferredRevenue,trailingOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
1970-01-01 00:00:01.575072,926385000.0,,0.0,1128012000.0,,,,,,,,,,,,-154228000.0,,,1600000.0,,,,,0.0,0.0,,,,0.0,,,-280671000.0,,7130948000.0,,5000000.0,-13891000.0,,,26000000.0,,0.0,7800000.0,-875918000.0,,,,,,226536000.0,,,,,0.0,1294646000.0,,,42286000.0,,,,,,,1234989000.0,-766912000.0,,,,,,,,,,,,,0.0,-7800000.0,,26000000.0,5107000.0,0.0,,,,106050000.0,,138056000.0,80000000.0,,1600000.0,918531000.0,,-12800000.0,0.0,,,-47110000.0,,,,,,3280251000.0,,,,20113000.0,,,,,,-265272000.0,,,0.02,,,,80000000.0,203663000.0,,,,,133824000.0,,,-20214000.0,-10702000.0,,,,,,,371752000.0,1600000.0,,,26000000.0,,,,,,,,,,2045262000.0,-7800000.0,,1029374000.0,,,,,26000000.0,,,,,924349000.0,,,,,,2045262000.0,0.02,,,3850697000.0,,88479000.0,-9815000.0,,,,,,,,,,,,,,,,
,,,0.0,,,,,,,,,,,,,,,,2400000.0,,,,,0.0,,,,,0.0,,,,,,,12600000.0,,,,34400000.0,,0.0,10200000.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-10200000.0,,34400000.0,,0.0,,,,,,,80000000.0,,2400000.0,,,-22800000.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.03,,,,80000000.0,,,,,,,,,,,,,,,,,,2400000.0,,,34400000.0,,,,,,,,,,,-10200000.0,,,,,,,34400000.0,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,,,,,,,,,,,,,,,,3700000.0,,,,,0.0,,,,,0.0,,,,,,,11000000.0,,,,54600000.0,,0.0,14000000.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-14000000.0,,54600000.0,,0.0,,,,,,,92500000.0,,3700000.0,,,-25000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.04,,,,92500000.0,,,,,,,,,,,,,,,,,,3700000.0,,,54600000.0,,,,,,,,,,,-14000000.0,,,,,,,54600000.0,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,
,,,40200000.0,,,,,,,,,,,,,,,,4600000.0,,,,,0.0,,,,,0.0,,,,,,,9300000.0,,,,61700000.0,,0.0,18500000.0,,,,,,,,,,,,11700000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0,,61700000.0,,23000000.0,,,,,,,92000000.0,,4600000.0,,,700000.0,0.0,,,,,,,,,,,,17200000.0,,,,,,,,,,0.05,,,,92000000.0,,,,,,,,,,,,,,,,,,4600000.0,,,61700000.0,,,,,,,,,,,21700000.0,,,,,,,61700000.0,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
,,,45800000.0,,,,,23100000.0,,,,,,,,,,10300000.0,5500000.0,,,,,0.0,,,,,0.0,,,,,,,10900000.0,,,200000.0,9600000.0,,0.0,23900000.0,,,,,,4800000.0,,,6900000.0,,,9800000.0,,,,,,,,,,,,,,6900000.0,,,6000000.0,,,,,,,15800000.0,0.0,12100000.0,,11700000.0,,24000000.0,,,,,8200000.0,,91666667.0,21600000.0,5500000.0,,,300000.0,0.0,,,,1000000.0,,,,1800000.0,,,,21800000.0,,,13600000.0,,,,,,,0.06,,,,91666667.0,,,,,,,,,,,,10200000.0,,,,,,5500000.0,,37500000.0,62800000.0,1600000.0,,,-5800000.0,,15700000.0,,900000.0,,,21900000.0,,,,,,,25300000.0,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,117259000.0,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117259000.0,,,,,,,,,,,,,,,,,21100000.0,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,21100000.0,21100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,76800000.0,,,,,29800000.0,,200000.0,,,13300000.0,,,,,13900000.0,7400000.0,,,76800000.0,38000000.0,0.0,,,,2400000.0,0.0,,,,,,,13300000.0,,,300000.0,13900000.0,14900000.0,0.0,46100000.0,,,,,14500000.0,6500000.0,,,12200000.0,3200000.0,,15800000.0,,,1400000.0,,,,,,,,,,,12200000.0,,,16200000.0,,,,,30700000.0,16200000.0,21800000.0,0.0,14900000.0,,16800000.0,,38800000.0,,,,,12600000.0,,105714286.0,29000000.0,7400000.0,,,200000.0,0.0,,,,1200000.0,,,,1100000.0,,,,38000000.0,,,19000000.0,12200000.0,46100000.0,12200000.0,,,,0.07,,,300000.0,105714286.0,,21800000.0,,,,,,,,,-45900000.0,14500000.0,-7200000.0,,,,,7400000.0,,47400000.0,83200000.0,3200000.0,,,-7200000.0,38800000.0,21900000.0,29800000.0,1400000.0,15800000.0,,30700000.0,29000000.0,,,,,,35800000.0,,,,,,-45900000.0,23400000.0,12600000.0,,,,0.07,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,117259000.0,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117259000.0,,,,,,,,,,,,,,,,,23100000.0,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,23100000.0,23100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,117259000.0,,,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117259000.0,,,,,,,,,,,,,,,,,26400000.0,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,26400000.0,26400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,117259000.0,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117259000.0,,,,,,,,,,,,,,,,,28500000.0,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,28500000.0,28500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
