,annualDeferredIncomeTax,annualCapitalExpenditure,quarterlySaleOfInvestment,trailingOperatingExpense,annualOtherNonCurrentAssets,annualOperatingExpense,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,trailingCapitalExpenditure,quarterlyIncomeTaxPayable,annualAccumulatedDepreciation,quarterlyDilutedEPS,trailingDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyOperatingIncome,trailingInterestExpense,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,annualDilutedAverageShares,quarterlyStockBasedCompensation,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,quarterlyChangeInInventory,annualInterestExpense,annualRepaymentOfDebt,quarterlyInvestingCashFlow,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,annualTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualOtherCurrentAssets,trailingChangeInAccountPayable,quarterlyOtherNonCashItems,annualGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,trailingCostOfRevenue,quarterlyPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInInventory,quarterlyTotalRevenue,annualBasicAverageShares,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,trailingTaxProvision,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualCurrentDebt,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualCostOfRevenue,annualBeginningCashPosition,annualFreeCashFlow,annualNetIncome,annualCashDividendsPaid,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualPurchaseOfInvestment,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlyNetIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,trailingPretaxIncome,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,quarterlyDilutedAverageShares,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,annualBasicEPS,annualTotalAssets,trailingNetIncome,annualLongTermDebt,annualStockholdersEquity,trailingChangeInInventory,quarterlyCostOfRevenue,quarterlyGoodwill,annualDepreciationAndAmortization,quarterlyAccountsReceivable,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,annualCurrentLiabilities,annualInventory,annualRetainedEarnings,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyLongTermDebt,annualCapitalStock,annualAccountsReceivable,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,quarterlyInventory,annualStockBasedCompensation,annualCommonStockIssuance,annualGoodwill,quarterlyBasicEPS,quarterlyCashDividendsPaid,annualOperatingIncome,annualNetPPE,trailingGrossProfit,quarterlyBasicAverageShares,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualAccountsPayable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualEbitda,quarterlyCapitalStock,annualDilutedEPS,trailingTotalRevenue,quarterlyPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,annualPretaxIncome,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,annualOtherNonCurrentLiabilities,trailingOperatingIncome,trailingOtherIncomeExpense,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingSaleOfInvestment,trailingBasicEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318124800,,,,,26300000.0,778300000.0,,,,,-276000000.0,,,,677400000.0,,,,,1069900000.0,,,,,,,,1051666667.0,,126200000.0,618800000.0,,,,,,,,,15600000.0,,,,,,,,723300000.0,,,,29000000.0,,,1031300000.0,,,114200000.0,831000000.0,,,,,,,,,,,1051666667.0,,126500000.0,,,,,12300000.0,,,2353500000.0,0.0,0.0,126500000.0,,,0.0,,,,,,,,,,,,,0.12,1793200000.0,,190600000.0,962200000.0,,,,,,,,,,631100000.0,424700000.0,877500000.0,,,,,,,,,,,,,,,,253000000.0,697000000.0,,,3384800000.0,,,94800000.0,3300000.0,,,0.0,,,,,199900000.0,,,0.0,,296700000.0,,0.12,,,,973000000.0,,,,,94800000.0,,,,,240700000.0,,,,,,,9300000.0,,,,,,,,,,,,,,,,,,,,,,
349747200,,,,,42200000.0,927000000.0,,,,,-328000000.0,,,,794100000.0,,,,,1140500000.0,,,,,,,,1150000000.0,,138000000.0,745600000.0,,,,,,,,,21700000.0,,,,,,,,1014700000.0,,,,11900000.0,,,1190900000.0,,,112000000.0,1089100000.0,,,,,,,,,,,1150000000.0,,138200000.0,,,,,13600000.0,,,2842600000.0,0.0,0.0,138200000.0,,,0.0,,,,,,,,,,,,,0.12,2155200000.0,,317100000.0,1066100000.0,,,,,,,,,,759200000.0,543800000.0,978800000.0,,,,,,,,,,,,,,,,263900000.0,972500000.0,,,4033500000.0,,,28400000.0,8100000.0,,,0.0,,,,,329900000.0,,,0.0,,331700000.0,,0.12,,,,1300500000.0,,,,,28400000.0,,,,,250200000.0,,,,,,,12800000.0,,,,,,,,,,,,,,,,,,,,,,
381283200,,,,,20000000.0,1126300000.0,,,,,-400600000.0,,,,953100000.0,,,,,1409500000.0,,,,,,,,1138571429.0,,159400000.0,791100000.0,,,,,,,,,49500000.0,,,,,,,,1145700000.0,,,,52800000.0,,,1460900000.0,,,128000000.0,1362600000.0,,,,,,,,,,,1138571429.0,,159500000.0,,,,,109600000.0,,,3482000000.0,0.0,0.0,159500000.0,,,0.0,,,,,,,,,,,,,0.14,2555200000.0,,428100000.0,1192600000.0,,,,,,,,,,900700000.0,663100000.0,1101700000.0,,,,,,,,,,,,,,,,334600000.0,1125700000.0,,,4942900000.0,,,28400000.0,2400000.0,,,0.0,,,,,461900000.0,,,0.0,,426800000.0,,0.14,,,,1526300000.0,,,,,28400000.0,,,,,287500000.0,,,,,,,33800000.0,,,,,,,,,,,,,,,,,,,,,,
412819200,,,,,18900000.0,1265200000.0,,,,,-480000000.0,,,,1062400000.0,,,,,1671600000.0,,,,,,,,1101666667.0,,198300000.0,943500000.0,,,,,,,,,69200000.0,,,,,,,,1312500000.0,,,,14100000.0,,,1702800000.0,,,174600000.0,1635300000.0,,,,,,,,,,,1101666667.0,,198400000.0,,,,,9800000.0,,,3957900000.0,0.0,0.0,198400000.0,,,0.0,,,,,,,,,,,,,0.18,2984100000.0,,631300000.0,1348800000.0,,,,,,,,,,953300000.0,784900000.0,1253000000.0,,,,,,,,,,,,,,,,437600000.0,1293600000.0,,,5660700000.0,,,44200000.0,4500000.0,,,0.0,,,,,682000000.0,,,0.0,,545500000.0,,0.18,,,,1773600000.0,,,,,44200000.0,,,,,373000000.0,,,,,,,50700000.0,,,,,,,,,,,,,,,,,,,,,,
444355200,,,,,23800000.0,1504600000.0,,,,,-595400000.0,,,,1260300000.0,,,,,2079400000.0,,,,,,,,1158095238.0,,243200000.0,1202200000.0,,,,,,,,,90500000.0,,,,,,,,1507000000.0,,,,9000000.0,,,2038400000.0,,,204600000.0,2046200000.0,,,,,,,,,,,1158095238.0,,243200000.0,,,,,8600000.0,,,4924900000.0,0.0,0.0,243200000.0,,,0.0,,,,,,,,,,,,,0.21,3586400000.0,,750500000.0,1540200000.0,,,,,,,,,,1210800000.0,998700000.0,1438000000.0,,,,,,,,,,,,,,,,533800000.0,1483200000.0,,,6963300000.0,,,118900000.0,4400000.0,,,0.0,,,,,835400000.0,,,0.0,,667000000.0,,0.21,,,,2078600000.0,,,,,118900000.0,,,,,447800000.0,,,,,,,84900000.0,,,,,,,,,,,,,,,,,,,,,,
452131200,,,,,,,,,,,,0.03,,,,,,,,,1618000000.0,,,,,,,,,,,,,,,1618000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618000000.0,,,,,,,,,,,,,,,,28400000.0,,,,,,,,,,,1160888000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,1160888000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460080000,,,,,,,,,,,,0.04,,,,,,,,,1784100000.0,,,,,,,,,,,,,,,1784100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784100000.0,,,,,,,,,,,,,,,,39100000.0,,,,,,,,,,,1163592000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,1163592000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468028800,,,,,,,,,,,,0.04,,,,,,,,,1868800000.0,,,,,,,,,,,,,,,1868800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868800000.0,,,,,,,,,,,,,,,,43200000.0,,,,,,,,,,,1163904000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,1163904000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475977600,,,,,127800000.0,1706100000.0,2111300000.0,,,,-620300000.0,,,,1412900000.0,,,,,2181100000.0,-4668900000.0,,19200000.0,,,,,1127391304.0,,259300000.0,1198000000.0,,,,,-4668900000.0,1736500000.0,,,105800000.0,,,,,,,,1618800000.0,2181100000.0,1208400000.0,,19200000.0,,,2308100000.0,,,220000000.0,2063400000.0,,1630000000.0,,,1491000000.0,,,855000000.0,,2738100000.0,1127391304.0,,259300000.0,,,,-620300000.0,10400000.0,,,5700900000.0,0.0,0.0,259300000.0,,148600000.0,0.0,,,,,,100000.0,,104300000.0,,,,1198000000.0,0.23,3799900000.0,,750600000.0,1736500000.0,,,,,,,,,,1208400000.0,1103900000.0,1630000000.0,,,104300000.0,,750600000.0,,,,,1103900000.0,,,,,,602000000.0,1491000000.0,,,8009000000.0,,,62000000.0,-16800000.0,,62000000.0,0.0,62000000.0,,,,855000000.0,,,0.0,,759000000.0,,0.23,,,,2111300000.0,,10400000.0,,,62000000.0,,,,127800000.0,479300000.0,,,2063400000.0,,,3799900000.0,100000.0,,,1618800000.0,,,,,,,,,,,,,,,,,,,
