date,trailingPretaxIncome,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualNetIncome,trailingNetIncome,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,annualTotalAssets,annualPretaxIncome,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingSaleOfInvestment,annualOtherShortTermInvestments,annualCommonStockIssuance,annualStockholdersEquity,annualSaleOfInvestment,annualDepreciationAndAmortization,annualInvestingCashFlow,annualAccountsReceivable,quarterlyInventory,annualRetainedEarnings,annualTotalRevenue,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,trailingTotalRevenue,trailingEndCashPosition,trailingOperatingIncome,annualAccountsPayable,annualCurrentLiabilities,quarterlyCurrentDebt,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,annualDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualOtherIncomeExpense,annualNetPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualIncomeTaxPayable,annualNetOtherInvestingChanges,annualDilutedEPS,annualCashAndCashEquivalents,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,trailingInterestExpense,trailingBeginningCashPosition,quarterlyOtherCurrentAssets,annualInterestExpense,annualGrossPPE,trailingOperatingExpense,annualNetIncomeCommonStockholders,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,annualCurrentAssets,trailingCapitalExpenditure,annualOtherNonCurrentAssets,quarterlyCapitalStock,annualEbitda,trailingChangeInCashSupplementalAsReported,trailingRepaymentOfDebt,annualAccumulatedDepreciation,quarterlyAccountsPayable,annualOtherIntangibleAssets,annualBasicEPS,annualCapitalExpenditure,annualCapitalStock,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,trailingOperatingCashFlow,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,trailingGrossProfit,annualTaxProvision,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualInventory,quarterlyNetPPE,trailingTaxProvision,annualStockBasedCompensation,trailingCostOfRevenue,annualChangeInInventory,annualNetOtherFinancingCharges,annualGrossProfit,trailingNetIncomeContinuousOperations,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyNonCurrentDeferredRevenue,annualTotalLiabilitiesNetMinorityInterest,trailingPurchaseOfBusiness,annualBasicAverageShares,quarterlyRetainedEarnings,annualFreeCashFlow,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,annualCostOfRevenue,annualPurchaseOfBusiness,annualBeginningCashPosition,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,trailingPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,annualGoodwill,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyGoodwill,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,quarterlyInterestExpense,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,annualChangeInAccountPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,trailingResearchAndDevelopment,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,trailingChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,quarterlyTotalRevenue,annualCurrentDeferredRevenue
2012-03-31,,,17226054.390836,191708131.425814,-31665509.929829,,809792526.74966,1258415790.26558,,1258415790.26558,-13383448.715394,,0.0,0.0,,,-108456098.397938,218993138.396478,,,,410611043.332192,,99102085.715908,-26229975.032833,,165078944.7336,,1241500514.021432,191708131.425814,,24077332.20891,35529611.024018,,,,355979761.882459,628811608.536911,222995540.847536,218993138.396478,18945089.960724,1639409496.0,24077332.20891,24077332.20891,-14811083.618014,723040.276864,786600811.642474,847804746.933389,5879397.136891,24077332.20891,17312317.970295,49836305.806916,-2149721.416242,-0.019326,24077332.20891,0.0,405062438.746776,,,2149721.416242,33226302.854493,1371538653.017151,,-31665509.929829,405062438.746776,103818040.368107,448623263.515921,,5879397.136891,5548604.585416,118944939.855007,,,-584937841.374677,355979761.882459,17312317.970295,-0.019326,-68557513.25135,5548604.585416,,0.0,410611043.332192,-5511447.626828,,,-184916950.440819,10058952.579828,,18282061.214434,-584937841.374677,222995540.847536,165078944.7336,786600811.642474,,,,-5863287.962003,0.0,91052694.413259,,809792526.74966,2149721.416242,32686515.917193,17226054.390836,847804746.933389,,1639409496.0,,-83368596.869364,,1371538653.017151,628811608.536911,448623263.515921,10058952.579828,49836305.806916,1150447819.608173,,25559338.11554,,-31665509.929829,72107604.452536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,,,,,,,800757235.006925,1292715155.132584,,,,,0.0,0.0,,,,322536961.341932,,,,,,,,,150681900.870712,,,287839604.451946,,,,,,,,,189046529.83252,,,,38390791.910646,38390791.910646,,,,926012805.223888,5786727.03793,,17049661.663987,,,,,,,,,7644022.633799,,,,,,,,,,6965914.102864,,,,,356794957.212916,,,,,,,366702349.908696,,,,,8316018.223214,,,,,,777995475.190345,,,,,,,,,,,16895295.800378,,,,10785061.116072,,,,603475843.881955,491957920.125659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,,16674023.04425,239558554.25735,-140464989.251977,,793891631.672967,1272137666.538207,277100019.009497,1272137666.538207,-149884919.487058,,0.0,0.0,,,149540.282893,285532594.160309,,,33363605.165303,342137636.77132,,101543825.686814,-63230935.692113,277100019.009497,154660185.796869,,1140435567.2809,239558554.25735,,37732684.909095,,,,,275320388.334489,644467435.606578,218329454.510781,285532594.160309,-35758137.31481,1960323541605.0,37732684.909095,37732684.909095,88002312.98482,,783970845.401572,930000029.766887,280300.436537,37732684.909095,16739530.057127,,-6633976.945692,-7.2e-05,37732684.909095,0.0,,,,8750006.114261,29472351.173101,1455770311.705365,,-140464989.251977,,91672124.827007,478246034.86524,,280300.436537,6883259.335922,-18868742.627143,,,-671799466.303793,275320388.334489,16739530.057127,-7.2e-05,-57621871.68661,6883259.335922,,0.0,342137636.77132,11645840.849693,,,-227063702.605987,12071467.452274,,-9419930.235081,-671799466.303793,218329454.510781,154660185.796869,783970845.401572,,,,8072551.664115,0.0,46240075.449852,,793891631.672967,8750006.114261,28903611.176208,16674023.04425,930000029.766887,,1960323541605.0,,30380441.298209,,1455770311.705365,644467435.606578,478246034.86524,12071467.452274,,1094195491.831048,,23735129.803722,,-140464989.251977,81998212.764663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,,,,,,792874117.931992,1283296610.849702,287281308.903471,,,,0.0,0.0,,,,67787395.367771,,,,,,,,,148231410.831374,,,29817017.879536,,,,,,,,,427282354.946747,,,,50437220.500935,50437220.500935,,,,939033598.096836,276789.385041,,16619976.790159,,,,,,,,,4472552.68193,,,,,,,,,,6797039.427428,,,,,395867998.179368,,,,,,,344263012.752866,,,,,11270281.71034,,,,,,783972080.996443,,,,,,,,,,,16571943.551106,,,,-32813579.303332,,,783972080.996443,871246202.729065,490422492.917711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,,,16727282.740035,40578625.231185,-145185488.663969,,764920415.396575,1264263297.309029,294099738.430627,1264263297.309029,-123933817.070148,,0.0,0.0,,,-7195470.690388,95367996.186985,,,0.0,214936852.584314,,106538156.250164,-53860308.957527,294099738.430627,164196583.455363,-296309132.429579,1263452913.109947,40578625.231185,,36988697.583322,,,,,266443707.629467,953958448.537731,523039328.485968,95367996.186985,-36308.491792,2081073577524.0,36988697.583322,36988697.583322,97247780.995259,,757344324.959695,1049326444.724715,279917.445915,36988697.583322,16762665.904727,,4683322.78052,-7e-05,36988697.583322,0.0,,,,4057862.443142,24202131.835313,1539369924.444516,,-145185488.663969,,123137231.201621,499342881.912454,,279917.445915,6873854.342438,6806471.015329,,,-782025599.484821,266443707.629467,16762665.904727,-7e-05,-68704872.55469,6873854.342438,,0.0,214936852.584314,-2507090.201503,,,-241484409.499889,22279042.198627,,21251671.593821,-782025599.484821,523039328.485968,164196583.455363,757344324.959695,,,,-9747718.773794,15995282.623686,103431746.801676,,764920415.396575,4057862.443142,23589018.256593,16727282.740035,1049326444.724715,,2081073577524.0,-296309132.429579,28542908.440569,,1539369924.444516,953958448.537731,499342881.912454,22279042.198627,,1160021166.308272,,37681128.569516,,-145185488.663969,103468055.293467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,,,,,1060358318.312627,2508175690.826755,341984037.350687,,,,0.0,0.0,,,,101868377.524178,,,,,,,,,139767788.58646,,,39971100.874409,,,,,,,,,188732050.58721,,,,951101230.564007,951101230.564007,,,,752683871.719035,5354241.139062,,16320892.713346,,,,,,,,,6395629.557619,,,,,,,,,,41931920.436651,,,,,391284869.752871,,,,,,,1755491819.107719,,,,,10922303.47433,,,,,,724642409.732192,,,,,,,,,,,16292383.220518,,,,-133966898.726435,,,724642409.732192,650815494.194858,1447817372.514128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,,6777000.0,1521467000.0,-89397000.0,,,,,7863792000.0,-77151000.0,,,,,,-434798000.0,,,,1873649000.0,2288371000.0,,80782000.0,-2570114000.0,451412000.0,,15918000.0,930433000.0,,,598340000.0,,,,,501259000.0,4007558000.0,,1567513000.0,-122247000.0,12671400000.0,,,-395095000.0,,5276298000.0,,,598340000.0,,,-434827000.0,-0.0071,598340000.0,0.0,,,,,14793000.0,6150557000.0,,-89397000.0,,159986000.0,1662139000.0,,15151000.0,,18424000.0,,,-874259000.0,,6891300.459564,-0.0071,-2096287000.0,48491000.0,,6857000.0,,565244000.0,,,-197375000.0,,,12298000.0,,1019844000.0,137858000.0,,,72895000.0,,23997000.0,400000.0,75053000.0,,6201653000.0,438900000.0,13119000.0,,5575071000.0,,12671400000.0,,-2491382000.0,,,,,11310000.0,,855380000.0,-40396000.0,36462000.0,,-89449000.0,197300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,9364893923.467136,13172132215.250853,1202431841.984022,,,,0.0,0.0,,,,3920776658.706021,,,,,,,,,129983147.465414,,,3870043477.223422,,,,,,,,,2491003697.338111,,,,1708102834.922367,1708102834.922367,,,,10725836112.6047,55663571.205989,,6819544.576778,,,,,,,,,703118119.512868,,,,,,,,,,46306726.62044,,,,,741721612.920701,,,,,,,2445902729.01044,,,,,13196844.25149,,,,,,8060822666.164934,,,,,,,,,,,6806725.883964,,,,-189818402.013894,,,8060822666.164934,6805059453.898678,3807238291.783716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,,6623000.0,8126285000.0,-15229000.0,,16946662000.0,23502458000.0,3150943000.0,23502458000.0,23331000.0,,0.0,6303000.0,,,-779003000.0,8202098000.0,,,0.0,2441234000.0,,383778000.0,-9180652000.0,3150943000.0,166784000.0,15918000.0,1969899000.0,8126285000.0,,1964993000.0,,,,,2703686000.0,12858321000.0,5472603000.0,8202098000.0,148134000.0,14545226000.0,1964993000.0,1964993000.0,35423000.0,,14245850000.0,21060419000.0,38772000.0,1964993000.0,,,-503753000.0,-0.003,1964993000.0,0.0,,,,825171000.0,335923000.0,15560543000.0,,-15229000.0,,372489000.0,6555796000.0,,38772000.0,48491000.0,743032000.0,,,-1314693000.0,2703686000.0,,-0.0011,-7902802000.0,48491000.0,,6303000.0,2441234000.0,1333825000.0,,,-3402798000.0,22027000.0,,38803000.0,-1314693000.0,5472603000.0,166784000.0,14245850000.0,,135542000.0,,-28926000.0,41300000.0,522534000.0,,16946662000.0,825171000.0,308723000.0,6623000.0,21060419000.0,,13995252000.0,15918000.0,-7867379000.0,,15560543000.0,12858321000.0,6555796000.0,22027000.0,,1447365000.0,-281926000.0,598340000.0,,-15472000.0,374400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,23923801000.0,31753338000.0,2807934000.0,,,,0.0,0.0,,,,10607235000.0,,,,,,,,,154553000.0,,,10528771000.0,,,,,,,,,7274505000.0,,,,2938569000.0,2938569000.0,,,,27130858000.0,62478000.0,,,,,,,,,,,1098358000.0,,,,,,,,,,66674000.0,,,,,2089882000.0,,,,,,,4576875000.0,,,,,42841000.0,,,,,,20172007000.0,,,,,,,,,,,6547000.0,,,,-66650000.0,,,20172007000.0,16523623000.0,7829537000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,-4846000.0,0.0,17011747000.0,130386000.0,,30739180000.0,41478178000.0,3386165000.0,41478178000.0,267210000.0,,0.0,0.0,,,-1628574000.0,17041201000.0,,,1963889000.0,4572954000.0,,724876000.0,-9714424000.0,3386165000.0,0.0,-182278000.0,2246425000.0,17011747000.0,,3853082000.0,,,,,2560480000.0,18017373000.0,5624027000.0,17041201000.0,1177120000.0,18615821000.0,3826486000.0,3826486000.0,450154000.0,,26864536000.0,35058574000.0,46463000.0,3826486000.0,,,-1324811000.0,0.007,3826486000.0,0.0,,,,2028388000.0,966243000.0,27577424000.0,,130386000.0,,370599000.0,10738998000.0,,46463000.0,66674000.0,1958329000.0,,,-712888000.0,2560480000.0,,0.007,-8311628000.0,66674000.0,,0.0,4572954000.0,1890412000.0,,,-7742463000.0,29454000.0,,-42189000.0,-712888000.0,5624027000.0,0.0,26864536000.0,,71409000.0,,-21006000.0,1820069000.0,1570677000.0,,30739180000.0,2028388000.0,886390000.0,0.0,35058574000.0,,18615821000.0,-182278000.0,-7861474000.0,,27577424000.0,18017373000.0,10738998000.0,29454000.0,,675748000.0,-115135000.0,1964993000.0,,309399000.0,393557000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,34462049000.0,46165897000.0,3947983000.0,,,,0.0,0.0,300050000.0,,,18898211000.0,,,,,,,,,,,,18870011000.0,,,,,,,,,6763540000.0,,,,3096635000.0,2796585000.0,,,,39263215000.0,97538000.0,,,,,,,,,,,1845130000.0,,,,,,,,,,66674000.0,,,,,2043714000.0,,,,,,,5064562000.0,,,,,28200000.0,,,,,,29992931000.0,,,,,,,,,,,,,,,300075000.0,,,29992931000.0,20365004000.0,11703848000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,,211613000.0,26365166000.0,841439000.0,,44713309000.0,55434344000.0,4227637000.0,55434344000.0,864109000.0,,,,240040000.0,,-1503624000.0,26612258000.0,,240040000.0,0.0,5620870000.0,268893000.0,1091684000.0,-13354230000.0,4227637000.0,,336906000.0,3942280000.0,26365166000.0,-606050000.0,4196596000.0,,,,,2196344000.0,20026144000.0,9065114000.0,26612258000.0,2219311000.0,19073715000.0,4436636000.0,4196596000.0,1854127000.0,,38217394000.0,46638402000.0,43598000.0,4436636000.0,,,238567000.0,0.0441,4196596000.0,,,,,,1432082000.0,39875557000.0,,841439000.0,,460413000.0,10721035000.0,,43598000.0,66674000.0,3387875000.0,,,-1658163000.0,2196344000.0,,0.0441,-13633917000.0,66674000.0,,,5620870000.0,387934000.0,,,-8065522000.0,35479000.0,,-40153000.0,-1658163000.0,9065114000.0,,38217394000.0,,33706000.0,,-4611000.0,1572739000.0,2653489000.0,,44713309000.0,,1294854000.0,211613000.0,46638402000.0,,19073715000.0,336906000.0,-11779790000.0,,39875557000.0,20026144000.0,10721035000.0,35479000.0,,1288791000.0,-59278000.0,3853082000.0,,904262000.0,434178000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,,,,,,49535587000.0,58242678000.0,5326074000.0,,,,,,,,,31199498000.0,,,,,,,,,,,,30942692000.0,,,,,,,,,6429543000.0,,,,2128153000.0,2128153000.0,,,,48960938000.0,22710000.0,,,,,,,,,,,,,,,,,,,,,66674000.0,,,,,2425490000.0,,,,,,,5988655000.0,,,,,46283000.0,,,,,,41637329000.0,,,,,,,,,,,210523000.0,,,,,,,41637329000.0,17761440000.0,8707091000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,394011000.0,30460990000.0,469680000.0,,51846671000.0,61179861000.0,2981150000.0,61179861000.0,755870000.0,,,,,,-2213623000.0,30903815000.0,,,,6135198000.0,256830000.0,1513255000.0,-7729278000.0,2981150000.0,,,5632397000.0,30460990000.0,0.0,1406851000.0,,,,,,20574506000.0,9353705000.0,30903815000.0,3209508000.0,19633795000.0,1361978000.0,1361978000.0,2462346000.0,,43082290000.0,51478321000.0,28137000.0,1361978000.0,,,189655000.0,0.0242,1361978000.0,,,,,,2276958000.0,46168614000.0,,469680000.0,,614700000.0,9333190000.0,,28137000.0,66674000.0,4546083000.0,,,-3086324000.0,,,0.0246,-8189773000.0,66674000.0,,,6135198000.0,-2815027000.0,,,-10718311000.0,48814000.0,,6516000.0,-3086324000.0,9353705000.0,,43082290000.0,,12679000.0,,0.0,137597000.0,3742654000.0,,51846671000.0,,2119610000.0,394011000.0,51478321000.0,,19073715000.0,,-5727427000.0,,46168614000.0,20574506000.0,9333190000.0,48814000.0,,1889743000.0,-20725000.0,4196596000.0,,749354000.0,533146000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,,,,,,52896260000.0,61692355000.0,4279368000.0,,,,,,,,,31410399000.0,,,,,,,,,,,,29778658000.0,,,,,,,,,11237751000.0,,,,958963000.0,958963000.0,,,,51502594000.0,26586000.0,,,,,,,,,,,,,,,,,,,,,66674000.0,,,,,140778000.0,,,,,,,6546974000.0,,,,,60312000.0,,,,,,43814359000.0,,,,,,,,,,,393157000.0,,,,,,,43814359000.0,20092195000.0,8796095000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
