,annualBeginningCashPosition,annualChangesInAccountReceivables,quarterlyChangeInInventory,annualCurrentAssets,trailingInterestExpense,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,annualInterestExpense,quarterlyRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,annualNetIncomeCommonStockholders,quarterlySaleOfInvestment,annualDeferredIncomeTax,trailingOperatingExpense,trailingCapitalExpenditure,quarterlyBasicAverageShares,annualAccumulatedDepreciation,trailingChangeInCashSupplementalAsReported,annualSellingGeneralAndAdministration,annualGrossPPE,annualRepaymentOfDebt,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyChangeInAccountPayable,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,quarterlyOperatingExpense,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,trailingGrossProfit,annualCapitalExpenditure,trailingNetIncomeCommonStockholders,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,annualTaxProvision,quarterlyTaxProvision,quarterlyRepaymentOfDebt,annualCurrentDebt,annualStockBasedCompensation,annualNetOtherFinancingCharges,quarterlyEbitda,annualGrossProfit,quarterlyPretaxIncome,quarterlyNetPPE,trailingTaxProvision,quarterlyRetainedEarnings,quarterlyCommonStockIssuance,annualInventory,trailingDepreciationAndAmortization,quarterlyStockBasedCompensation,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,quarterlyOperatingIncome,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,quarterlyDilutedEPS,annualFreeCashFlow,trailingPurchaseOfBusiness,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,annualChangeInInventory,annualOperatingExpense,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyTotalRevenue,trailingFreeCashFlow,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualLongTermDebt,annualCashDividendsPaid,annualPretaxIncome,quarterlyLongTermDebt,annualBasicAverageShares,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,trailingPretaxIncome,annualAccountsReceivable,annualNetIncome,trailingCashDividendsPaid,annualTotalAssets,trailingNetIncome,annualGoodwill,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,annualStockholdersEquity,annualOtherNonCashItems,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,annualSaleOfInvestment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualInvestingCashFlow,quarterlyInventory,annualRetainedEarnings,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualBasicEPS,trailingStockBasedCompensation,quarterlyGoodwill,trailingSaleOfInvestment,annualDepreciationAndAmortization,quarterlyOtherIncomeExpense,annualTotalRevenue,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,trailingTotalRevenue,trailingOperatingCashFlow,quarterlyNetIncomeCommonStockholders,annualCashFlowFromContinuingFinancingActivities,trailingOtherIncomeExpense,quarterlyInvestingCashFlow,annualDilutedAverageShares,quarterlyEndCashPosition,annualEndCashPosition,trailingOperatingIncome,annualCurrentLiabilities,annualNetPPE,quarterlyBasicEPS,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,annualOtherShortTermInvestments,annualOperatingIncome,trailingCashFlowFromContinuingFinancingActivities,annualOtherIncomeExpense,trailingEndCashPosition,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashAndCashEquivalents,annualChangeInAccountPayable,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,annualAccountsPayable,annualEbitda,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyTotalLiabilitiesNetMinorityInterest,annualDilutedEPS,quarterlyOtherNonCurrentAssets,trailingBasicAverageShares,trailingCommonStockIssuance,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualIncomeTaxPayable,trailingChangeInInventory,trailingChangeInAccountPayable,trailingNetOtherFinancingCharges,trailingDeferredIncomeTax,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299548800,0.0,,,398600000.0,,,,12600000.0,,9600000.0,,,53200000.0,,,,,,-143900000.0,,110500000.0,320800000.0,,,,,,,,,,,122300000.0,,,,,,,,5300000.0,656400000.0,44900000.0,,,40300000.0,,,,235800000.0,,,,,,240300000.0,,,189400000.0,,,,,,,290000000.0,8600000.0,,0.0,,,,,,129300000.0,,,,,,,,53200000.0,,,118800000.0,,98100000.0,,110777944.0,,,,,53200000.0,,588000000.0,,,,,,,,,,,,298000000.0,,,,,,,0.0,,251500000.0,,,,0.48024,,,,,,892200000.0,,,,,,,,,115594377.0,,0.0,,162600000.0,176900000.0,,,,,106500000.0,,4300000.0,,2900000.0,,0.0,127400000.0,,,,,,,125300000.0,,0.0,,,,,,,9400000.0,9400000.0,,,0.46023,,,,,,,,,,,,,,,,,,,,,,,
331171200,0.0,,,435000000.0,,,,20400000.0,,8100000.0,,,56000000.0,,,,,,-159900000.0,,120200000.0,367200000.0,,,,,,,,,,,122100000.0,,,,,,,,5100000.0,768300000.0,36500000.0,,,48800000.0,,,,254100000.0,,,,,,270100000.0,,,218700000.0,,,,,,,316100000.0,10100000.0,,0.0,,,,,,143000000.0,,,,,,,,56000000.0,,,135200000.0,,92500000.0,,111944028.0,,,,,56000000.0,,653700000.0,,,,,,,,,,,,337600000.0,,,,,,,0.0,,289800000.0,,,,0.50025,,,,,,1022400000.0,,,,,,,,,115010988.0,,0.0,,170900000.0,207300000.0,,,,,111100000.0,,1700000.0,,3300000.0,,0.0,145200000.0,,,,,,,133900000.0,,-100000.0,,,,,,,1700000.0,1700000.0,,,0.48691,,,,,,,,,,,,,,,,,,,,,,,
362707200,0.0,,,483400000.0,,,,22800000.0,,16000000.0,,,57400000.0,,,,,,-184300000.0,,138100000.0,447600000.0,,,,,,,,,,,164100000.0,,,,,,,,6500000.0,822000000.0,38900000.0,,,32800000.0,,,,283900000.0,,,,,,294100000.0,,,283500000.0,,,,,,,347900000.0,11700000.0,,0.0,,,,,,166400000.0,,,,,,,,57400000.0,,,139200000.0,,96300000.0,,117886262.0,,,,,57400000.0,,766900000.0,,,,,,,,,,,,419000000.0,,,,,,,0.0,,333500000.0,,,,0.48691,,,,,,1105900000.0,,,,,,,,,121207002.0,,0.0,,196900000.0,263300000.0,,,,,117500000.0,,1700000.0,,4200000.0,,0.0,151000000.0,,,,,,,145800000.0,,100000.0,,,,,,,4900000.0,4900000.0,,,0.47357,,,,,,,,,,,,,,,,,,,,,,,
394243200,0.0,,,494300000.0,,,,20100000.0,,13500000.0,,,52000000.0,,,,,,-210600000.0,,144600000.0,497500000.0,,,,,,,,,,,151100000.0,,,,,,,,6600000.0,869700000.0,32600000.0,,,28700000.0,,,,278400000.0,,,,,,304000000.0,,,304300000.0,,,,,,,348700000.0,14500000.0,,0.0,,,,,,176700000.0,,,,,,,,52000000.0,,,154300000.0,,84600000.0,,125743580.0,,,,,52000000.0,,798600000.0,,,,,,,,,,,,449900000.0,,,,,,,0.0,,367200000.0,,,,0.41354,,,,,,1148100000.0,,,,,,,,,129935032.0,,0.0,,179800000.0,286900000.0,,,,,101700000.0,,2900000.0,,3900000.0,,0.0,168900000.0,,,,,,,133800000.0,,100000.0,,,,,,,10800000.0,10800000.0,,,0.4002,,,,,,,,,,,,,,,,,,,,,,,
425779200,0.0,,,492800000.0,,,,18200000.0,,14700000.0,,,31400000.0,,,,,,-253600000.0,,155400000.0,557700000.0,,,,,,,,,,,164100000.0,,,,,,,,7900000.0,825300000.0,18300000.0,,,11700000.0,,,,260700000.0,,,,,,264100000.0,,,321600000.0,,,,,,,340700000.0,18900000.0,,0.0,,,,,,195200000.0,,,,,,,,31400000.0,,,146000000.0,,49700000.0,,134504176.0,,,,,31400000.0,,814400000.0,,,,,,,,,,,,473700000.0,,,,,,,0.0,,391100000.0,,,,0.23345,,,,,,1086000000.0,,,,,,,,,134504176.0,,0.0,,175800000.0,304100000.0,,,,,65500000.0,,2300000.0,,2800000.0,,0.0,164900000.0,,,,,,,105300000.0,,0.0,,,,,,,47800000.0,47800000.0,,,0.23345,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,135040480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349100000.0,,,,,,,,,,,,,349100000.0,,,,,,0.15341,,,,,,,,,,,349100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135040480.0,,21800000.0,,,,,,,,,,,,,,,,,,,,,,0.16675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,0.0,,,552100000.0,,7500000.0,,16100000.0,,14000000.0,,,71500000.0,,,,,,-280900000.0,,173800000.0,616800000.0,,518300000.0,,,,,,,,,203800000.0,,,,,,,,7500000.0,955000000.0,52700000.0,,,13400000.0,,,-810000000.0,349800000.0,,335900000.0,,434300000.0,,299700000.0,,,353200000.0,,,-810000000.0,,,,387000000.0,24200000.0,,0.0,,,,616800000.0,,214900000.0,217200000.0,,552100000.0,359900000.0,,,,71500000.0,,-280900000.0,145700000.0,,124200000.0,145700000.0,135691648.0,203800000.0,,,,71500000.0,,905300000.0,,,905300000.0,,,,,,,-100000.0,,518300000.0,,,,,169800000.0,,0.0,299700000.0,434300000.0,,,26000000.0,0.52693,,,,,,1304800000.0,,24200000.0,,,,,,,139216106.0,,0.0,,217200000.0,335900000.0,,,,,134900000.0,,5400000.0,,3300000.0,,0.0,169800000.0,45800000.0,,,45800000.0,13400000.0,,176000000.0,,-100000.0,,,,3300000.0,353200000.0,,45800000.0,45800000.0,,387000000.0,0.51359,14000000.0,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,135040480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350900000.0,,,,,,,,,,,,,350900000.0,,,,,,0.1334,,,,,,,,,,,350900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135040480.0,,18800000.0,,,,,,,,,,,,,,,,,,,,,,0.14007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,,,,,,,,,,,,,,,,136112444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353800000.0,,,,,,,,,,,,,353800000.0,,,,,,0.14007,,,,,,,,,,,353800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136112444.0,,19200000.0,,,,,,,,,,,,,,,,,,,,,,0.14007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
